date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA
12-04T21:00:00,58.3,54.0,63.0,44.6,24.1,57.0,1018.1,1013.0,1023.0,0.1,6.8,39.6,19.1,14.7,14.9,11.7,58.3,58.3,5.4,18.0,325.0,1.0,7.0,15.0,1.0,14.5
12-04T22:00:00,57.6,53.1,62.1,44.3,24.1,57.0,1018.3,1013.2,1022.9,0.1,7.5,35.8,18.3,14.4,15.1,16.4,57.6,57.5,5.3,19.4,32.0,1.2,3.0,19.3,2.0,14.8
12-04T23:00:00,57.3,53.1,62.1,43.5,23.0,55.9,1018.4,1013.6,1023.2,0.0,7.8,39.2,17.6,15.1,15.3,12.8,57.3,57.2,5.5,18.2,27.0,1.7,3.0,24.1,2.0,12.6
12-05T00:00:00,56.5,51.1,61.0,42.7,21.9,55.9,1018.3,1013.4,1023.1,0.1,8.6,35.5,20.2,14.8,16.6,13.0,56.5,56.4,5.5,15.8,37.0,2.2,3.0,26.8,2.0,17.5
12-05T01:00:00,55.6,51.1,61.0,42.2,21.0,55.4,1018.1,1013.3,1022.9,0.0,9.5,35.7,19.3,12.9,17.0,15.2,55.6,55.4,5.1,16.9,49.0,2.5,3.0,28.9,2.0,22.5
12-05T02:00:00,54.5,49.3,60.1,41.7,21.9,55.0,1018.1,1013.3,1022.8,0.0,10.5,37.0,17.8,14.7,14.0,16.5,54.5,54.2,4.9,20.3,55.0,2.6,3.0,33.4,2.0,18.6
12-05T03:00:00,53.7,48.9,59.0,41.0,21.9,55.0,1018.0,1013.2,1022.7,0.0,11.3,35.2,20.8,13.6,14.4,15.9,53.7,53.3,4.5,24.0,54.0,2.6,3.0,31.1,2.0,22.2
12-05T04:00:00,53.2,48.0,57.9,40.6,21.9,54.0,1017.9,1013.0,1022.5,0.0,11.9,30.7,17.7,14.2,18.4,18.9,53.2,52.7,4.4,25.6,52.0,2.5,3.0,28.8,2.0,23.6
12-05T05:00:00,52.7,46.9,57.9,40.2,21.0,54.0,1017.9,1013.2,1022.6,0.0,12.3,33.9,22.1,15.0,12.6,16.3,52.7,52.2,4.2,27.8,54.0,2.4,3.0,27.6,2.0,23.9
12-05T06:00:00,52.6,46.9,57.9,39.9,21.0,54.0,1018.2,1013.4,1022.8,0.0,12.5,28.7,26.3,15.0,14.5,15.5,52.6,52.0,4.3,26.9,55.0,2.6,3.0,28.3,2.0,20.2
12-05T07:00:00,53.2,48.0,59.0,39.3,19.9,54.0,1018.6,1013.8,1023.1,0.0,11.8,16.3,20.2,29.7,16.1,17.7,53.2,52.8,4.9,18.7,57.0,2.7,3.0,31.0,2.0,21.5
12-05T08:00:00,55.1,50.0,60.1,39.8,19.9,54.0,1019.0,1014.0,1023.4,0.0,9.9,16.0,21.4,26.8,18.2,17.6,55.1,54.9,5.2,16.0,58.0,3.1,3.0,30.2,2.0,25.4
