date,HLY_TEMP_NORMAL_SF,HLY_TEMP_10PCTL_SF,HLY_TEMP_90PCTL_SF,HLY_DEWP_NORMAL_SF,HLY_DEWP_10PCTL_SF,HLY_DEWP_90PCTL_SF,HLY_PRES_NORMAL_SF,HLY_PRES_10PCTL_SF,HLY_PRES_90PCTL_SF,HLY_CLDH_NORMAL_SF,HLY_HTDH_NORMAL_SF,HLY_CLOD_PCTCLR_SF,HLY_CLOD_PCTFEW_SF,HLY_CLOD_PCTSCT_SF,HLY_CLOD_PCTBKN_SF,HLY_CLOD_PCTOVC_SF,HLY_HIDX_NORMAL_SF,HLY_WCHL_NORMAL_SF,HLY_WIND_AVGSPD_SF,HLY_WIND_PCTCLM_SF,HLY_WIND_VCTDIR_SF,HLY_WIND_VCTSPD_SF,HLY_WIND_1STDIR_SF,HLY_WIND_1STPCT_SF,HLY_WIND_2NDDIR_SF,HLY_WIND_2NDPCT_SF
07-24T06:00:00,57.7,55.0,61.0,53.2,50.0,55.9,1014.9,1012.0,1017.9,0.0,7.4,7.2,19.5,12.5,21.1,39.7,57.7,57.7,7.3,8.2,268.0,6.2,7.0,49.7,6.0,17.9
07-24T07:00:00,59.4,55.9,63.0,53.5,50.0,57.0,1015.2,1012.3,1018.2,0.1,5.7,8.0,18.6,16.8,17.8,38.8,59.4,59.4,6.7,16.7,268.0,5.4,7.0,33.1,8.0,23.1
07-24T08:00:00,61.4,57.9,66.0,53.9,51.1,57.0,1015.5,1012.6,1018.4,0.3,3.9,9.0,19.4,21.0,18.9,31.7,61.4,61.4,7.5,9.3,278.0,5.2,8.0,30.2,7.0,28.6
07-24T09:00:00,63.5,59.0,67.1,54.4,51.1,57.9,1015.5,1012.6,1018.6,0.7,2.2,9.3,29.4,25.0,19.4,16.9,63.5,63.5,9.0,2.0,299.0,5.9,8.0,32.1,7.0,21.6
07-24T10:00:00,65.4,61.0,70.0,54.8,51.1,59.0,1015.5,1012.6,1018.5,1.5,1.1,12.8,41.2,20.4,19.0,6.6,65.4,65.4,10.4,0.9,304.0,7.0,8.0,29.3,7.0,24.0
07-24T11:00:00,67.3,63.0,72.0,55.0,51.1,59.0,1015.4,1012.6,1018.4,2.8,0.5,15.8,48.9,18.9,12.9,3.6,67.3,67.3,12.2,1.3,303.0,9.2,8.0,39.1,7.0,23.7
07-24T12:00:00,69.0,64.0,73.9,54.8,51.1,57.9,1015.2,1012.4,1018.2,4.2,0.2,18.7,53.0,17.5,7.8,3.1,69.0,69.0,14.6,0.0,296.0,12.0,8.0,42.6,7.0,30.5
07-24T13:00:00,69.9,64.9,75.0,54.5,51.1,57.9,1014.8,1011.9,1017.9,5.1,0.2,19.2,54.8,16.6,7.7,1.6,69.9,69.9,16.6,0.2,291.0,14.6,8.0,45.2,7.0,39.5
07-24T14:00:00,70.0,64.9,75.2,54.3,51.1,57.9,1014.5,1011.5,1017.6,5.2,0.2,16.2,53.4,20.4,7.7,2.3,70.0,70.0,18.4,0.2,287.0,16.8,7.0,47.9,8.0,40.9
07-24T15:00:00,69.2,64.0,73.9,54.1,51.1,57.0,1014.1,1011.1,1017.3,4.4,0.2,14.4,53.0,22.7,7.9,2.1,69.2,69.2,19.5,0.0,283.0,17.9,7.0,53.3,8.0,34.9
