date,Megawatts
2018-11-05 00:00:00,20128.384615384617
2018-11-05 01:00:00,19482.5
2018-11-05 02:00:00,19186.75
2018-11-05 03:00:00,19181.333333333332
2018-11-05 04:00:00,19820.75
2018-11-05 05:00:00,21369.75
2018-11-05 06:00:00,23500.583333333332
2018-11-05 07:00:00,24373.083333333332
2018-11-05 08:00:00,24272.75
2018-11-05 09:00:00,24306.416666666668
2018-11-05 10:00:00,24545.083333333332
2018-11-05 11:00:00,24840.083333333332
2018-11-05 12:00:00,25196.666666666668
2018-11-05 13:00:00,26015.416666666668
2018-11-05 14:00:00,26718.166666666668
2018-11-05 15:00:00,27472.666666666668
2018-11-05 16:00:00,28168.333333333332
2018-11-05 17:00:00,29395.583333333332
2018-11-05 18:00:00,29201.416666666668
2018-11-05 19:00:00,28234.583333333332
2018-11-05 20:00:00,27135.333333333332
2018-11-05 21:00:00,25536.25
2018-11-05 22:00:00,23603.25
2018-11-05 23:00:00,22006.545454545456
