Net Demand 07/26/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,26645,26267,26267,26267,25936,25936,25936,25557,25557,25557,25290,25290,25290,25018,25018,25018,24745,24745,24745,24456,24456,24456,24281,24281,24281,24111,24111,24111,23935,23935,23935,23788,23788,23788,23648,23648,23648,23557,23557,23557,23465,23465,23465,23366,23366,23366,23464,23464,23464,23616,23616,23616,23721,23721,23721,23752,23752,23752,24069,24069,24069,24454,24454,24454,24706,24706,24706,24904,24904,24904,25220,25220,25220,25540,25540,25540,25878,25878,25878,26235,26235,26235,26709,26709,26709,27110,27110,27110,27360,27360,27360,27577,27577,27577,27878,27878,27878,28155,28155,28155,28369,28369,28369,28559,28559,28559,28643,28643,28643,28957,28957,28957,29048,29048,29048,29135,29135,29135,29322,29322,29322,29555,29555,29555,29686,29686,29686,29835,29835,29835,29923,29923,29923,30108,30108,30108,30181,30181,30181,30145,30145,30145,30000,30000,30000,30257,30257,30257,30551,30551,30551,30738,30738,30738,30946,30946,30946,31259,31259,31259,31439,31439,31439,31617,31617,31617,31663,31663,31663,31907,31907,31907,32110,32110,32110,32326,32326,32326,32514,32514,32514,32843,32843,32843,32994,32994,32994,33196,33196,33196,33354,33354,33354,33614,33614,33614,33799,33799,33799,33988,33988,33988,34045,34045,34045,34211,34211,34211,34423,34423,34423,34590,34590,34590,34452,34452,34452,34426,34426,34426,34376,34376,34376,34217,34217,34217,33941,33941,33941,33627,33627,33627,33369,33369,33369,33308,33308,33308,33264,33264,33264,33293,33293,33293,33347,33347,33347,33184,33184,33184,32956,32956,32956,32628,32628,32628,32315,32315,32315,31808,31808,31808,31287,31287,31287,30832,30832,30832,30315,30315,30315,29761,29761,29761,29144,29144,29144,28676,28676,28676,28236,28236,28236,27712,27712,27712,27250,27250,27250
Demand,26629,26601,26551,26410,26288,26149,26043,25916,25806,25683,25580,25447,25323,25253,25149,25071,24968,24865,24756,24675,24629,24524,24447,24372,24283,24261,24217,24124,24081,24053,23956,23902,23838,23735,23681,23647,23630,23538,23532,23478,23454,23420,23375,23380,23391,23373,23363,23351,23350,23370,23432,23498,23512,23535,23581,23627,23664,23684,23729,23805,23841,24028,24259,24372,24453,24519,24598,24724,24779,24860,24940,25015,25130,25346,25577,25729,25810,25856,25915,26034,26116,26217,26300,26405,26518,26782,26960,27044,27135,27227,27305,27361,27437,27495,27587,27675,27730,27934,28063,28174,28243,28328,28327,28350,28296,28382,28528,28621,28636,28773,28880,28889,28892,28889,28931,28988,29014,29068,29114,29140,29160,29214,29340,29391,29497,29537,29547,29584,29641,29688,29732,29730,29777,29812,29810,29832,29789,29768,29683,29730,29776,29800,29838,29894,29970,30059,30140,30186,30246,30313,30428,30456,30498,30562,30701,30813,30859,30871,30929,30962,31025,31103,31160,31228,31258,31248,31331,31398,31483,31577,31645,31725,31834,31865,31902,31965,32029,32119,32202,32389,32480,32431,32461,32526,32651,32722,32801,32856,32937,33025,33098,33180,33244,33274,33246,33341,33388,33496,33553,33615,33654,33744,33821,33889,33927,33925,33929,33994,34072,34176,34227,34295,34348,34418,34508,34512,34482,34374,34227,34271,34283,34287,34283,34265,34222,34205,34190,34129,34043,33901,33794,33772,33721,33625,33560,33498,33468,33463,33411,33364,33355,33380,33443,33487,33485,33468,33416,33398,33360,33272,33231,33101,33011,33000,32944,32840,32739,32623,32510,32367,32222,32086,31956,31777,31580,31343,31208,31050,30880,30680,30493,30301,30121,29910,29701,29515,29323,29177,28972,28783,28582,28401,28231,28033,27896,27730,27574,27451,
Day-ahead net forecast,Net demand,23211,23089,23051,22947,22801,22692,22576,22494,22389,22296,22238,22178,22187,22141,22178,22209,22214,22294,22384,22478,22579,22587,22549,22462,22195,21977,22106,22228,22228,22216,22061,21929,21882,21751,21732,21775,21825,21861,21888,21844,21870,21971,21939,21946,21988,22040,22044,22046,21991,22019,22109,22185,22212,22251,22278,22334,22398,22424,22476,22570,22623,22730,22902,22986,23068,23200,23281,23426,23507,23560,23662,23729,23827,23919,24200,24348,24444,24442,24465,24493,24506,24509,24518,24521,24542,24606,24724,24635,24496,24420,24278,24062,23902,23659,23422,23273,23252,23558,23611,23413,23216,23096,22954,22914,22655,22286,22182,21971,21747,21843,21917,21670,21376,21244,21258,21229,21168,21295,21313,21441,21503,21605,21556,21440,21203,20894,20603,20334,20111,19954,19859,19689,19582,19471,19298,19026,18948,18873,18880,18977,19067,19098,19076,19217,19281,19297,19275,19333,19173,19094,19130,19204,19352,19459,19636,19854,20027,20106,20048,20089,20231,20335,20341,20462,20515,20634,20689,20649,20769,20811,20833,20820,20977,21064,21066,20967,21040,21198,21146,21280,21514,21700,21741,21925,21935,22116,22186,22317,22547,22890,23331,23539,23767,23983,24159,24403,24617,24806,25040,25223,25331,25431,25533,25672,25928,26013,26188,26451,26737,27017,27302,27490,27658,27751,27955,28106,28288,28447,28535,28884,29128,29411,29662,29952,30184,30398,30609,30827,31022,31177,31327,31520,31695,31804,31886,31996,32019,32123,32162,32190,32262,32289,32414,32491,32517,32480,32436,32356,32303,32249,32208,32131,32040,32015,32057,31988,31893,31804,31689,31560,31426,31322,31198,31067,30903,30750,30549,30406,30188,29961,29739,29548,29368,29191,28997,28783,28567,28430,28252,28051,27857,27706,27586,27424,27286,27132,26981,26882,
Solar,-41,-41,-42,-42,-42,-41,-41,-42,-42,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-43,-43,-43,-42,-42,-43,-42,-43,-44,-44,-44,-44,-44,-44,-43,-43,-44,-43,-44,-44,-44,-43,-44,-44,-43,-44,-44,-44,-44,-44,-44,-44,-44,-45,-45,-43,-40,-31,-12,11,46,92,153,224,318,415,525,614,710,803,908,1030,1239,1434,1621,1862,2104,2390,2652,2975,3211,3235,3042,3207,3509,3812,4016,4157,4170,4466,4842,5108,5442,5694,5634,5730,6018,6314,6428,6439,6550,6621,6522,6565,6510,6516,6505,6709,6931,7303,7663,7906,8185,8470,8658,8827,8980,9110,9241,9380,9734,9744,9812,9724,9638,9620,9609,9646,9566,9667,9756,9845,9834,9956,10043,10113,10149,10053,10020,9967,9888,9768,9716,9754,9671,9484,9370,9349,9307,9327,9229,9298,9376,9349,9348,9418,9486,9421,9399,9403,9526,9444,9367,9457,9382,9245,9078,8875,8770,8807,8777,8813,8713,8572,8329,7945,7798,7681,7586,7378,7216,7136,7074,6977,6864,6783,6749,6711,6686,6477,6373,6203,5987,5751,5582,5386,5210,5108,5070,4975,4833,4681,4514,4291,3960,3757,3510,3210,2895,2612,2365,2130,1831,1557,1294,1033,815,663,509,376,251,160,112,76,43,14,-13,-32,-47,-47,-47,-45,-44,-44,-43,-43,-43,-43,-44,-45,-44,-44,-44,-44,-43,-43,-43,-43,-42,-42,-42,-42,-42,-42,-42,-41,-42,-41,-42,-41,-41,-40,-42,-42,-42,-42,-42,-41,-41,-41,-41,-40,-40
Wind,3512,3546,3577,3576,3563,3555,3540,3513,3504,3473,3440,3338,3224,3158,3062,2941,2812,2657,2442,2257,2097,2019,1968,1980,2199,2332,2152,1970,1898,1905,1998,2036,2044,2054,2006,1926,1835,1751,1680,1701,1612,1497,1497,1474,1439,1392,1356,1350,1393,1384,1352,1331,1326,1323,1324,1317,1305,1294,1268,1250,1261,1257,1316,1401,1395,1338,1321,1298,1297,1301,1295,1295,1306,1317,1304,1283,1257,1235,1207,1181,1168,1155,1150,1140,1143,1159,1170,1163,1161,1168,1176,1167,1170,1165,1160,1177,1199,1227,1244,1235,1195,1211,1222,1245,1252,1226,1210,1201,1189,1227,1224,1220,1212,1209,1215,1207,1203,1225,1201,1181,1132,1078,1022,996,989,1000,1037,1065,1054,1053,1053,1052,1082,1104,1127,1113,1111,1099,1103,1089,1079,1071,1097,1058,998,983,982,1028,1099,1151,1139,1093,1068,1050,1034,1029,1032,1054,1104,1179,1256,1374,1447,1430,1388,1378,1347,1340,1336,1368,1386,1398,1377,1390,1439,1464,1482,1533,1569,1638,1669,1729,1801,1819,1840,1794,1782,1782,1778,1760,1788,1808,1755,1697,1689,1669,1621,1553,1522,1498,1510,1542,1528,1521,1517,1529,1533,1512,1528,1536,1526,1556,1566,1563,1551,1556,1521,1462,1415,1386,1358,1352,1381,1412,1420,1429,1453,1481,1496,1459,1448,1427,1384,1338,1308,1276,1264,1232,1194,1150,1092,1064,1050,1027,1029,1041,1059,1088,1113,1094,1076,1066,1054,1022,971,936,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924
