Net Demand 10/21/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22241,22023,22023,22023,21818,21818,21818,21560,21560,21560,21353,21353,21353,21163,21163,21163,20957,20957,20957,20796,20796,20796,20677,20677,20677,20606,20606,20606,20529,20529,20529,20410,20410,20410,20372,20372,20372,20379,20379,20379,20371,20371,20371,20368,20368,20368,20466,20466,20466,20583,20583,20583,20762,20762,20762,20938,20938,20938,21299,21299,21299,21703,21703,21703,22000,22000,22000,22330,22330,22330,23001,23001,23001,23620,23620,23620,24133,24133,24133,24519,24519,24519,24960,24960,24960,25256,25256,25256,25423,25423,25423,25395,25395,25395,25471,25471,25471,25501,25501,25501,25346,25346,25346,25214,25214,25214,25049,25049,25049,24877,24877,24877,24561,24561,24561,24231,24231,24231,24032,24032,24032,23852,23852,23852,23933,23933,23933,23847,23847,23847,23783,23783,23783,23657,23657,23657,23558,23558,23558,23327,23327,23327,23281,23281,23281,23239,23239,23239,23282,23282,23282,23267,23267,23267,23350,23350,23350,23645,23645,23645,23756,23756,23756,23866,23866,23866,24095,24095,24095,24343,24343,24343,24629,24629,24629,24957,24957,24957,25198,25198,25198,25442,25442,25442,25643,25643,25643,25761,25761,25761,25918,25918,25918,26056,26056,26056,26255,26255,26255,26579,26579,26579,26667,26667,26667,26814,26814,26814,27047,27047,27047,27394,27394,27394,27545,27545,27545,28055,28055,28055,28376,28376,28376,28581,28581,28581,28511,28511,28511,28098,28098,28098,27880,27880,27880,27663,27663,27663,27397,27397,27397,27184,27184,27184,26920,26920,26920,26635,26635,26635,26414,26414,26414,26161,26161,26161,25809,25809,25809,25476,25476,25476,25072,25072,25072,24648,24648,24648,24179,24179,24179,23731,23731,23731,23332,23332,23332,23022,23022,23022,22708,22708,22708,22393,22393,22393,22061,22061,22061
Demand,22157,22146,22099,22007,21974,21883,21785,21737,21648,21575,21506,21437,21337,21283,21235,21167,21114,21076,21011,20968,20867,20844,20794,20758,20709,20681,20643,20598,20578,20538,20517,20482,20445,20419,20376,20384,20333,20361,20341,20325,20333,20335,20330,20327,20343,20319,20324,20310,20341,20413,20560,20599,20656,20676,20715,20767,20835,20857,20888,20995,21091,21275,21474,21607,21710,21775,21859,22001,22147,22231,22325,22459,22620,22965,23312,23494,23686,23828,23982,24178,24375,24543,24621,24750,24907,25096,25311,25385,25507,25527,25535,25486,25472,25421,25406,25430,25477,25462,25520,25509,25461,25377,25387,25313,25183,25146,25086,25103,24946,24760,24692,24605,24524,24472,24381,24288,24265,24207,24110,24072,24005,24033,24143,24061,24030,23982,23940,23852,23874,23787,23761,23686,23589,23540,23542,23491,23404,23352,23313,23267,23284,23248,23200,23182,23166,23121,23131,23116,23104,23118,23124,23081,23173,23182,23280,23367,23380,23435,23508,23580,23546,23535,23630,23667,23733,23840,23950,24036,24095,24196,24300,24413,24556,24621,24649,24702,24831,24867,24915,24996,25053,25083,25173,25246,25312,25425,25462,25497,25578,25650,25654,25762,25769,25807,25854,25927,26021,26143,26170,26285,26334,26380,26523,26634,26725,26746,26791,26891,26992,27093,27167,27261,27322,27417,27568,27661,27733,27688,27716,27647,27863,28042,28217,28295,28341,28387,28411,28400,28354,28271,28243,28162,28119,28059,28008,27941,27833,27801,27738,27651,27551,27484,27370,27277,27191,27116,27005,26931,26832,26753,26645,26584,26485,26398,26362,26257,26182,26083,25969,25858,25755,25626,25506,25357,25210,25006,24819,24655,24538,24408,24269,24124,24011,23893,23767,23645,23510,23342,23201,23048,22933,22847,22721,22585,22455,22352,22230,22125,22125
Day-ahead net forecast,21740,21083,21083,21083,21083,21083,21083,21083,21083,21083,21083,21083,21083,20135,20135,20135,20135,20135,20135,20135,20135,20135,20135,20135,20135,19687,19687,19687,19687,19687,19687,19687,19687,19687,19687,19687,19687,19564,19564,19564,19564,19564,19564,19564,19564,19564,19564,19564,19564,19987,19987,19987,19987,19987,19987,19987,19987,19987,19987,19987,19987,21293,21293,21293,21293,21293,21293,21293,21293,21293,21293,21293,21293,23551,23551,23551,23551,23551,23551,23551,23551,23551,23551,23551,23551,23315,23315,23315,23315,23315,23315,23315,23315,23315,23315,23315,23315,18518,18518,18518,18518,18518,18518,18518,18518,18518,18518,18518,18518,15071,15071,15071,15071,15071,15071,15071,15071,15071,15071,15071,15071,13742,13742,13742,13742,13742,13742,13742,13742,13742,13742,13742,13742,13434,13434,13434,13434,13434,13434,13434,13434,13434,13434,13434,13434,13592,13592,13592,13592,13592,13592,13592,13592,13592,13592,13592,13592,13978,13978,13978,13978,13978,13978,13978,13978,13978,13978,13978,13978,14872,14872,14872,14872,14872,14872,14872,14872,14872,14872,14872,14872,16530,16530,16530,16530,16530,16530,16530,16530,16530,16530,16530,16530,19970,19970,19970,19970,19970,19970,19970,19970,19970,19970,19970,19970,25618,25618,25618,25618,25618,25618,25618,25618,25618,25618,25618,25618,28081,28081,28081,28081,28081,28081,28081,28081,28081,28081,28081,28081,28023,28023,28023,28023,28023,28023,28023,28023,28023,28023,28023,28023,26930,26930,26930,26930,26930,26930,26930,26930,26930,26930,26930,26930,25660,25660,25660,25660,25660,25660,25660,25660,25660,25660,25660,25660,23810,23810,23810,23810,23810,23810,23810,23810,23810,23810,23810,23810,22143,22143,22143,22143,22143,22143,22143,22143,22143,22143,22143,22143
Net demand,21856,21784,21755,21677,21598,21557,21461,21391,21287,21225,21152,21086,20975,20914,20867,20788,20706,20680,20646,20571,20489,20408,20344,20295,20231,20216,20187,20157,20129,20110,20082,20086,20041,20034,20005,19985,19958,19937,19952,19909,19909,19916,19895,19915,19927,19914,19914,19930,19928,20008,20145,20248,20258,20316,20344,20402,20431,20498,20483,20571,20628,20791,20984,21162,21244,21358,21421,21571,21706,21848,21903,22059,22180,22489,22839,23110,23246,23422,23551,23697,23898,24057,24138,24238,24368,24424,24559,24564,24497,24325,24064,23788,23460,22902,22483,22041,21569,21163,20772,20406,19973,19626,19085,18791,18557,17991,17191,16509,16129,15652,15252,15088,14734,14514,14215,13948,13830,13757,13543,13492,13531,13238,13006,12740,12864,12912,12971,12872,12776,12540,12362,12222,12054,12096,12168,12155,12075,12020,11882,11860,11932,11946,11922,11869,11936,12224,12234,12003,11842,11962,12169,12309,12215,12284,12183,12260,12183,12212,12222,12488,12491,12451,12532,12617,12866,12984,13267,13468,13753,13825,14149,14419,14536,14636,14692,14665,14832,15181,15383,15757,16010,16149,16190,16057,16206,16185,16175,16310,16429,16588,16920,17057,17092,17310,17383,17385,17620,17897,18469,19113,19669,20124,20597,21270,22168,23006,23350,23677,24064,24634,25188,25517,25738,26110,26452,26691,26867,26959,26966,27195,27355,27584,27752,27868,27897,27898,27953,27959,27907,27866,27775,27759,27669,27650,27584,27538,27431,27363,27341,27254,27191,27097,27027,26940,26852,26744,26634,26543,26428,26378,26243,26168,26060,25942,25904,25802,25701,25601,25487,25345,25247,25104,24946,24810,24628,24424,24185,23974,23809,23648,23497,23331,23181,23073,22960,22800,22675,22502,22312,22149,22013,21887,21774,21620,21462,21339,21246,21124,21124
Solar,-35,-36,-36,-36,-35,-36,-36,-35,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-35,-35,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-35,-35,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-37,-36,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-36,-30,-19,17,66,143,291,472,704,970,1264,1606,2084,2508,2962,3477,3925,4370,4760,5124,5431,5959,6229,6404,6938,7712,8353,8667,8953,9193,9357,9609,9774,9986,10146,10202,10295,10375,10352,10255,10479,10917,11070,10880,10779,10686,10736,10777,10995,11087,11192,11196,11106,11016,10982,11000,10965,11055,11028,10920,10879,10858,10840,10764,10425,10485,10684,10785,10683,10467,10288,10442,10366,10539,10605,10676,10707,10742,10574,10573,10598,10537,10528,10399,10289,10132,10021,9833,9851,9539,9479,9471,9499,9469,9539,9405,9196,8985,8773,8569,8476,8605,8733,8645,8784,8834,8748,8720,8605,8331,8263,8255,8075,8045,8111,7938,7790,7249,6687,6231,5806,5444,4848,4087,3287,2973,2747,2434,1995,1554,1309,1103,861,630,495,380,311,232,19,-5,-8,-6,-5,-2,0,-12,-17,-18,-18,-19,-19,-19,-21,-21,-62,-65,-64,-64,-64,-65,-64,-64,-64,-64,-64,-64,-65,-65,-66,-65,-51,-51,-54,-51,-53,-53,-53,-51,-50,-51,-50,-51,-51,-51,-50,-51,-51,-51,-50,-50,-50,-50,-50,-51,-50,-50,-51,-51,-51,-51,-50,-50,-50,-50,-50,-50,-49
Wind,384,395,406,413,406,398,399,406,414,419,423,421,423,429,436,441,448,446,441,448,462,484,505,521,527,513,508,492,483,482,471,457,441,432,426,429,440,445,447,452,459,459,455,451,450,446,439,429,412,402,396,385,391,394,387,386,398,405,409,421,435,449,445,443,446,437,422,417,410,399,390,393,386,373,367,370,376,387,411,433,452,466,468,472,492,521,526,524,523,512,498,476,462,463,450,436,422,409,403,394,385,368,356,327,309,288,277,258,245,235,230,221,221,222,221,231,225,217,225,234,247,260,281,291,298,297,294,288,297,312,323,333,338,347,366,370,373,380,391,396,406,440,458,465,474,457,445,454,459,464,459,487,487,503,511,495,499,500,493,490,493,486,488,489,488,499,506,505,504,499,503,499,496,475,478,495,483,478,482,447,432,421,428,430,432,424,418,425,411,406,407,409,398,404,408,404,407,410,412,410,404,398,406,409,404,408,408,406,415,406,402,410,422,421,422,436,443,456,455,430,415,411,405,406,440,469,471,477,483,478,475,466,467,467,472,495,508,511,505,494,488,476,459,450,452,466,488,496,491,491,490,501,518,532,541,552,564,580,589,598,615,635,652,673,698,719,756,797,833,864,887,906,921,925,926,937,952,974,992,1004,1028,1045,1056,1073,1094,1099,1100,1096
