Net Demand 07/17/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00.1
Hour-ahead forecast,27130,26730,26730,26730,26307,26307,26307,25816,25816,25816,25355,25355,25355,25015,25015,25015,24669,24669,24669,24534,24534,24534,24015,24015,24015,23847,23847,23847,23668,23668,23668,23473,23473,23473,23248,23248,23248,23103,23103,23103,22971,22971,22971,22888,22888,22888,22818,22818,22818,22935,22935,22935,23002,23002,23002,23027,23027,23027,23132,23132,23132,23439,23439,23439,23686,23686,23686,23862,23862,23862,23928,23928,23928,24195,24195,24195,24385,24385,24385,24550,24550,24550,24705,24705,24705,25006,25006,25006,25081,25081,25081,25309,25309,25309,25393,25393,25393,25633,25633,25633,25630,25630,25630,26022,26022,26022,25977,25977,25977,26194,26194,26194,26397,26397,26397,26352,26352,26352,26461,26461,26461,26603,26603,26603,26653,26653,26653,26798,26798,26798,26910,26910,26910,27139,27139,27139,27341,27341,27341,27546,27546,27546,27778,27778,27778,28063,28063,28063,28454,28454,28454,28752,28752,28752,29286,29286,29286,29612,29612,29612,30028,30028,30028,30281,30281,30281,30532,30532,30532,31005,31005,31005,31374,31374,31374,31735,31735,31735,32301,32301,32301,32744,32744,32744,33062,33062,33062,33523,33523,33523,33874,33874,33874,34151,34151,34151,34519,34519,34519,34766,34766,34766,35149,35149,35149,35341,35341,35341,35692,35692,35692,35859,35859,35859,36055,36055,36055,35969,35969,35969,36199,36199,36199,36263,36263,36263,36099,36099,36099,35730,35730,35730,35337,35337,35337,34976,34976,34976,34711,34711,34711,34589,34589,34589,34526,34526,34526,34179,34179,34179,33915,33915,33915,33582,33582,33582,33208,33208,33208,32735,32735,32735,32185,32185,32185,31488,31488,31488,30935,30935,30935,30360,30360,30360,29794,29794,29794,29228,29228,29228,28522,28522,28522,27985,27985,27985,27349,27349,27349
Demand,26892,26726,26551,26406,26260,26106,25961,25848,25713,25584,25443,25320,25273,25269,25186,25032,24761,24660,24533,24441,24345,24259,24154,24049,23985,23878,23793,23708,23650,23553,23479,23404,23361,23286,23221,23157,23100,23087,23077,23044,22991,22945,22912,22875,22864,22846,22811,22797,22774,22835,22948,22949,22969,22977,23001,23001,23007,23044,23064,23100,23131,23296,23480,23576,23638,23694,23696,23807,23867,23893,23909,23908,23946,24128,24291,24331,24344,24345,24377,24428,24465,24519,24550,24578,24704,24956,25121,25147,25174,25203,25235,25278,25290,25343,25355,25563,25698,25825,25919,25941,25979,26005,26079,26111,26110,26133,26151,26134,26162,26196,26216,26229,26245,26232,26231,26253,26257,26265,26283,26314,26351,26415,26477,26545,26549,26594,26606,26672,26734,26772,26839,26902,26962,27039,27116,27165,27265,27327,27432,27535,27612,27733,27806,27859,27929,28000,28111,28351,28449,28574,28661,28789,28908,29044,29196,29315,29378,29360,29399,29584,29768,29872,29993,30141,30294,30402,31104,30661,30827,30939,31093,31222,31344,31509,31623,31766,31927,32047,32172,32318,32473,32610,32727,32878,33044,33175,33320,33433,33547,33679,33815,33901,33984,34006,34086,34222,34346,34488,34596,34709,34855,35010,35105,35217,35292,35327,35386,35504,35618,35716,35828,35911,35967,36075,36161,36222,36280,36167,36109,36164,36202,36193,36275,36268,36303,36249,36220,36123,36054,35928,35790,35630,35548,35458,35347,35240,35119,35021,34921,34783,34645,34475,34356,34327,34289,34286,34250,34183,34121,34045,33994,33877,33736,33629,33520,33379,33257,33112,32962,32796,32640,32451,32261,32072,31878,31589,31395,31213,31026,30834,30637,30431,30247,30000,29811,29620,29426,29181,28945,28683,28520,28310,28121,27924,27748,27561,27376,27234,
Day-ahead net forecast,Net demand,23881,23661,23611,23455,23312,23200,23195,23082,22979,22866,22747,22624,22529,22595,22556,22442,22111,21997,21862,21704,21609,21527,21392,21236,21150,21111,21038,20978,20889,20843,20783,20719,20688,20629,20568,20515,20484,20465,20460,20462,20446,20398,20354,20318,20302,20302,20310,20325,20335,20393,20534,20628,20655,20695,20726,20759,20794,20843,20865,20935,20988,21110,21391,21554,21680,21768,21837,21879,21962,21973,21992,22028,22042,22127,22270,22253,22158,21960,21765,21519,21282,20975,20657,20304,19972,19794,19588,19285,18886,18625,18329,17849,17382,16998,16723,16382,16247,16068,15972,15798,15665,15580,15387,15301,15177,15097,15006,14915,14839,14765,14734,14643,14596,14511,14473,14424,14391,14348,14321,14270,14262,14252,14280,14281,14290,14264,14232,14230,14237,14262,14275,14287,14338,14368,14408,14469,14505,14567,14651,14718,14809,14903,15030,15051,15036,15098,15159,15377,15516,15615,15702,15763,15901,15994,16160,16250,16361,16328,16309,16424,16650,16698,16806,16913,17003,17106,17233,17752,17549,17666,17800,17958,18074,18240,18380,18488,18685,18859,18967,19064,19219,19330,19422,19573,19746,19929,20109,20235,20359,20527,20663,20688,20750,20848,20916,21057,21064,21224,21385,21531,21623,21916,22206,22393,22622,22744,22970,23213,23514,23835,24143,24460,24759,25124,25450,25806,26154,26437,26677,27053,27505,27973,28422,28878,29316,29708,30124,30499,30780,30994,31203,31465,31648,31864,32022,32141,32242,32246,32230,32202,32107,32017,31817,31729,31659,31616,31593,31486,31428,31316,31226,31087,30918,30797,30655,30537,30411,30285,30155,29997,29809,29607,29439,29216,29032,28741,28483,28280,28073,27874,27673,27482,27328,27127,26950,26790,26660,26444,26232,25980,25754,25600,25358,25172,24956,24819,24659,24606
Solar,-27,-27,-27,-26,-26,-26,-26,-26,-26,-26,-26,-26,-27,-27,-27,-27,-27,-27,-27,-27,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-27,-28,-27,-27,-27,-27,-27,-27,-27,-27,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-29,-29,-29,-29,-30,-31,-32,-32,-32,-32,-32,-33,-33,-33,-31,-22,14,70,162,284,477,707,945,1243,1558,1885,2225,2607,3001,3365,3786,4184,4570,4895,5290,5785,6303,6750,7113,7598,7957,8254,8493,8729,8927,9084,9313,9503,9653,9789,9912,10034,10151,10252,10348,10445,10519,10598,10664,10733,10802,10860,10923,10982,11024,11097,11142,11207,11242,11297,11345,11390,11426,11466,11501,11529,11554,11566,11592,11612,11638,11648,11658,11691,11699,11695,11683,11722,11738,11756,11767,11764,11758,11759,11761,11757,11757,11758,11759,11760,11756,11755,11752,11746,11743,11723,11713,11701,11700,11693,11670,11642,11665,11650,11636,11603,11570,11571,11551,11533,11483,11457,11446,11424,11400,11383,11357,11328,11288,11239,11193,11146,11048,10927,10869,10888,10811,10669,10575,10518,10589,10433,10393,10301,10321,10189,10051,10025,9924,9851,9751,9627,9494,9307,9175,9007,8784,8532,8301,8051,7771,7505,7207,6883,6498,6080,5721,5309,4846,4405,3931,3457,3074,2720,2363,1914,1560,1270,972,717,533,377,252,163,70,25,7,-9,-29,-41,-42,-42,-41,-40,-40,-41,-40,-40,-40,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-38,-38,-38,-38,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-38,
Wind,3148,3142,3062,3024,3036,2986,2854,2840,2815,2792,2786,2769,2758,2702,2702,2730,2727,2741,2761,2800,2807,2784,2829,2884,2878,2841,2809,2794,2796,2780,2751,2740,2717,2710,2699,2690,2673,2660,2640,2613,2598,2592,2594,2607,2593,2578,2546,2504,2465,2430,2385,2358,2337,2308,2290,2263,2245,2222,2202,2184,2164,2120,2070,2019,1968,1930,1904,1913,1925,1941,1935,1903,1873,1851,1819,1772,1725,1694,1675,1661,1653,1654,1660,1667,1686,1710,1708,1715,1702,1684,1665,1650,1628,1592,1551,1519,1476,1463,1436,1417,1375,1341,1322,1303,1285,1251,1223,1192,1169,1170,1145,1134,1129,1121,1105,1090,1064,1048,1048,1053,1048,1051,1037,1030,1030,1020,1029,1024,1041,1028,1051,1057,1055,1070,1077,1066,1074,1088,1083,1089,1070,1087,1084,1074,1110,1114,1123,1119,1124,1158,1184,1212,1222,1230,1227,1257,1264,1288,1317,1326,1341,1400,1439,1480,1514,1556,1556,1595,1541,1568,1605,1625,1627,1626,1642,1688,1692,1681,1715,1768,1790,1853,1895,1926,1940,1959,1946,2004,2083,2156,2245,2303,2388,2489,2544,2578,2657,2742,2794,2830,2854,2848,2780,2757,2723,2698,2630,2607,2550,2494,2457,2402,2372,2373,2354,2328,2310,2246,2205,2155,2120,2089,2083,2097,2110,2126,2128,2171,2200,2248,2270,2302,2338,2354,2393,2400,2413,2438,2465,2482,2497,2516,2551,2619,2686,2710,2723,2756,2765,2793,2840,2884,2908,2921,2928,2953,2941,2913,2899,2917,2940,2959,2958,2967,2980,3005,3014,3050,3061,3078,3074,3067,3039,3001,2967,2930,2893,2868,2847,2839,2846,2851,2865,2880,2878,2863,2818,2726,
