Net Demand 11/18/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21433,21234,21234,21234,21086,21086,21086,20848,20848,20848,20651,20651,20651,20512,20512,20512,20361,20361,20361,20195,20195,20195,20094,20094,20094,20003,20003,20003,19919,19919,19919,19855,19855,19855,19841,19841,19841,19849,19849,19849,19837,19837,19837,19885,19885,19885,20026,20026,20026,20194,20194,20194,20346,20346,20346,20501,20501,20501,20920,20920,20920,21350,21350,21350,21683,21683,21683,22002,22002,22002,22712,22712,22712,23236,23236,23236,23609,23609,23609,23865,23865,23865,24299,24299,24299,24503,24503,24503,24480,24480,24480,24386,24386,24386,24400,24400,24400,24409,24409,24409,24337,24337,24337,24245,24245,24245,24110,24110,24110,24033,24033,24033,23931,23931,23931,23734,23734,23734,23567,23567,23567,23334,23334,23334,23176,23176,23176,22989,22989,22989,22902,22902,22902,22841,22841,22841,22752,22752,22752,22794,22794,22794,22840,22840,22840,22738,22738,22738,22723,22723,22723,22910,22910,22910,23028,23028,23028,23301,23301,23301,23523,23523,23523,23811,23811,23811,24054,24054,24054,24157,24157,24157,24421,24421,24421,24700,24700,24700,24828,24828,24828,25177,25177,25177,25390,25390,25390,25656,25656,25656,25836,25836,25836,26157,26157,26157,26556,26556,26556,27062,27062,27062,27833,27833,27833,28207,28207,28207,28280,28280,28280,28177,28177,28177,27927,27927,27927,27745,27745,27745,27573,27573,27573,27492,27492,27492,27303,27303,27303,27080,27080,27080,26943,26943,26943,26784,26784,26784,26565,26565,26565,26338,26338,26338,26120,26120,26120,25858,25858,25858,25624,25624,25624,25406,25406,25406,25096,25096,25096,24755,24755,24755,24339,24339,24339,23957,23957,23957,23533,23533,23533,23092,23092,23092,22719,22719,22719,22359,22359,22359,22083,22083,22083,21790,21790,21790,21559,21559,21559
Demand,21379,21366,21341,21287,21195,21126,21068,20987,20912,20856,20792,20713,20644,20611,20567,20480,20427,20390,20346,20290,20247,20205,20130,20103,20059,20049,20047,20019,19987,19954,19933,19913,19881,19826,19814,19817,19800,19811,19821,19819,19809,19842,19817,19800,19840,19838,19840,19874,19875,19938,20054,20128,20186,20206,20272,20323,20382,20437,20489,20589,20689,20891,21079,21199,21300,21415,21508,21656,21794,21909,21994,22151,22294,22686,23013,23218,23371,23478,23570,23679,23830,23883,23970,24040,24102,24263,24369,24461,24507,24537,24503,24501,24466,24459,24392,24384,24386,24402,24481,24418,24434,24424,24343,24348,24283,24262,24204,24173,24130,24054,24058,24025,23951,23891,23823,23781,23725,23652,23548,23508,23432,23334,23288,23245,23171,23145,23064,23017,23002,22936,22869,22854,22809,22746,22766,22718,22709,22709,22633,22686,22691,22739,22788,22673,22586,22606,22692,22708,22728,22759,22815,22785,22836,22898,22974,23085,23160,23230,23273,23330,23431,23520,23556,23632,23756,23843,23891,23810,23866,24048,24218,24262,24460,24426,24462,24518,24544,24623,24698,24763,24895,24942,24983,25059,25155,25284,25381,25409,25491,25618,25716,25799,25860,25886,25970,26090,26162,26319,26468,26643,26852,26889,27068,27291,27471,27640,27751,27862,27931,28013,28029,28094,28096,28109,28062,28085,28014,27907,27817,27813,27757,27751,27690,27671,27619,27553,27483,27457,27415,27353,27295,27215,27154,27125,27036,27018,26940,26891,26789,26747,26670,26573,26522,26449,26345,26290,26214,26126,26046,25950,25875,25767,25693,25615,25527,25468,25373,25304,25171,25070,24952,24831,24716,24589,24447,24286,24083,23934,23797,23667,23555,23408,23275,23156,23019,22897,22763,22627,22539,22428,22313,22168,22057,21912,21801,21708,21587,21587,
Day-ahead net forecast,21530,20549,20549,20549,20549,20549,20549,20549,20549,20549,20549,20549,20549,19917,19917,19917,19917,19917,19917,19917,19917,19917,19917,19917,19917,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19442,19442,19442,19442,19442,19442,19442,19442,19442,19442,19442,19442,19913,19913,19913,19913,19913,19913,19913,19913,19913,19913,19913,19913,21237,21237,21237,21237,21237,21237,21237,21237,21237,21237,21237,21237,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,20388,20388,20388,20388,20388,20388,20388,20388,20388,20388,20388,20388,16788,16788,16788,16788,16788,16788,16788,16788,16788,16788,16788,16788,15647,15647,15647,15647,15647,15647,15647,15647,15647,15647,15647,15647,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,14798,14798,14798,14798,14798,14798,14798,14798,14798,14798,14798,14798,14856,14856,14856,14856,14856,14856,14856,14856,14856,14856,14856,14856,15281,15281,15281,15281,15281,15281,15281,15281,15281,15281,15281,15281,16552,16552,16552,16552,16552,16552,16552,16552,16552,16552,16552,16552,20839,20839,20839,20839,20839,20839,20839,20839,20839,20839,20839,20839,25057,25057,25057,25057,25057,25057,25057,25057,25057,25057,25057,25057,27058,27058,27058,27058,27058,27058,27058,27058,27058,27058,27058,27058,26681,26681,26681,26681,26681,26681,26681,26681,26681,26681,26681,26681,25839,25839,25839,25839,25839,25839,25839,25839,25839,25839,25839,25839,24839,24839,24839,24839,24839,24839,24839,24839,24839,24839,24839,24839,23608,23608,23608,23608,23608,23608,23608,23608,23608,23608,23608,23608,21996,21996,21996,21996,21996,21996,21996,21996,21996,21996,21996,21996,20532,20532,20532,20532,20532,20532,20532,20532,20532,20532,20532,20532
Net demand,20802,20788,20779,20735,20653,20559,20507,20422,20361,20299,20267,20193,20125,20097,20082,20021,19961,19917,19901,19868,19804,19755,19696,19656,19636,19605,19606,19575,19561,19558,19541,19561,19543,19520,19514,19510,19515,19471,19478,19485,19469,19480,19484,19440,19460,19478,19479,19515,19513,19538,19639,19702,19780,19806,19859,19933,19967,20021,20121,20178,20317,20461,20676,20790,20916,20999,21066,21180,21345,21479,21595,21719,21870,22149,22610,22821,22982,23085,23148,23128,23189,23087,22907,22817,22679,22464,22212,21924,21639,21335,20996,20581,20189,19835,19512,19135,18828,18551,18292,18040,17807,17609,17324,17056,16896,16800,16625,16348,16131,15931,15652,15472,15275,15072,15006,14788,14446,14112,14014,13960,13800,13736,13599,13658,13599,13393,13515,13404,13243,13055,13039,12949,12964,12890,12911,12971,13085,12872,13004,13002,13051,13034,12987,12950,13220,13085,13042,13161,13236,13115,13059,13335,13476,13611,13604,13891,13882,14175,14381,14392,14227,14610,14940,14775,14898,14987,15022,15110,15327,15378,15543,15677,16177,16037,16252,16634,16685,16870,17126,17415,17929,18611,18996,19270,19602,20386,20933,21423,21846,22404,22797,23162,23581,23984,24208,24538,24825,25166,25426,25682,25952,26198,26327,26536,26703,26905,27020,27144,27233,27277,27341,27373,27393,27407,27378,27377,27346,27237,27119,27074,27019,27024,26931,26929,26885,26822,26770,26685,26653,26634,26592,26492,26423,26370,26299,26275,26209,26132,26010,25947,25869,25756,25680,25638,25512,25429,25372,25266,25161,25081,25006,24898,24818,24733,24665,24603,24516,24438,24318,24197,24039,23936,23843,23735,23583,23412,23214,23047,22853,22660,22518,22441,22331,22206,22096,21941,21807,21690,21587,21483,21358,21191,21078,20920,20802,20707,20613,20613,
Solar,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-40,-41,-41,-41,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-44,-44,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-44,-43,-43,-44,-44,-44,-43,-42,-36,-23,9,68,151,276,463,701,923,1172,1492,1890,2279,2633,2971,3334,3722,4094,4437,4721,5059,5343,5646,5960,6211,6370,6591,6799,7047,7144,7217,7365,7592,7775,7872,8153,8346,8492,8604,8586,8765,9034,9251,9281,9260,9365,9309,9387,9291,9283,9462,9248,9287,9433,9564,9473,9551,9478,9447,9406,9312,9183,9387,9222,9219,9174,9243,9305,9233,8945,8985,9139,9013,9002,9168,9166,8986,8852,8773,8847,8695,8750,8522,8406,8427,8671,8391,8142,8392,8373,8356,8406,8243,8079,8140,8140,8091,7789,7852,7672,7307,7305,7198,6980,6767,6318,5813,5470,5287,5007,4371,3936,3473,3049,2613,2306,2042,1630,1274,1037,835,607,378,278,184,79,-63,-84,-86,-83,-79,-78,-77,-77,-77,-77,-76,-76,-76,-76,-76,-76,-77,-77,-77,-76,-76,-76,-75,-75,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-76,-76,-76,-70,-40,-38,-38,-39,-39,-39,-38,-38,-38,-38,-38,-38,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-39,-40,-40,-40,-40,-40,-40,-40,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39
Wind,636,628,612,617,632,633,630,623,624,623,597,590,582,565,544,536,529,522,503,494,497,510,505,497,491,488,488,490,483,454,430,412,380,363,352,347,352,370,380,376,386,392,399,407,406,403,393,395,406,406,420,435,435,430,422,424,435,429,404,392,394,388,388,391,403,419,440,451,448,425,413,410,404,392,370,359,354,344,342,343,338,334,325,295,276,259,246,244,241,233,230,221,218,215,211,209,209,208,211,224,235,251,265,268,264,261,253,253,261,260,252,239,236,224,257,272,289,296,304,301,311,316,321,319,321,324,338,345,350,353,368,374,394,424,430,450,452,451,440,447,459,468,474,486,501,515,505,500,493,489,494,485,467,460,479,477,483,486,477,471,470,455,462,461,447,452,455,456,456,469,473,494,504,517,514,513,522,522,536,539,527,488,472,455,448,450,456,471,495,530,536,547,577,608,648,671,688,696,705,707,716,732,752,761,762,759,765,763,760,767,776,777,777,779,780,780,780,791,810,817,822,829,836,835,828,825,837,850,853,812,813,822,841,846,840,836,839,860,881,901,906,895,893,897,904,923,926,938,939,941,943,946,940,945,940,937,933,930,950,967,990,981,950,951,964,987,981,994,1038,1094,1114,1068,1032,1029,1029,1049,1047,1029,1023,1035,1046,1069,1074,1078,1080,1073,1070,1065
