Net Demand 12/13/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22126,21924,21924,21924,21676,21676,21676,21522,21522,21522,21214,21214,21214,21096,21096,21096,20984,20984,20984,20903,20903,20903,20849,20849,20849,20796,20796,20796,20762,20762,20762,20659,20659,20659,20656,20656,20656,20646,20646,20646,20642,20642,20642,20663,20663,20663,20803,20803,20803,21033,21033,21033,21224,21224,21224,21356,21356,21356,21921,21921,21921,22392,22392,22392,22866,22866,22866,23269,23269,23269,23996,23996,23996,24714,24714,24714,25237,25237,25237,25644,25644,25644,26196,26196,26196,26571,26571,26571,26805,26805,26805,26932,26932,26932,27116,27116,27116,27335,27335,27335,27337,27337,27337,27388,27388,27388,27441,27441,27441,27562,27562,27562,27611,27611,27611,27511,27511,27511,27421,27421,27421,27492,27492,27492,27455,27455,27455,27451,27451,27451,27287,27287,27287,27363,27363,27363,27371,27371,27371,27653,27653,27653,27466,27466,27466,27395,27395,27395,27522,27522,27522,27556,27556,27556,27589,27589,27589,27589,27589,27589,27637,27637,27637,27693,27693,27693,27713,27713,27713,27762,27762,27762,27798,27798,27798,27798,27798,27798,27813,27813,27813,27911,27911,27911,28176,28176,28176,28363,28363,28363,28539,28539,28539,28908,28908,28908,29280,29280,29280,30057,30057,30057,30798,30798,30798,31149,31149,31149,30945,30945,30945,30850,30850,30850,30587,30587,30587,30515,30515,30515,30464,30464,30464,30324,30324,30324,30186,30186,30186,30009,30009,30009,29837,29837,29837,29692,29692,29692,29421,29421,29421,29239,29239,29239,29059,29059,29059,28775,28775,28775,28519,28519,28519,28192,28192,28192,27829,27829,27829,27328,27328,27328,26759,26759,26759,26185,26185,26185,25731,25731,25731,25207,25207,25207,24692,24692,24692,24300,24300,24300,23959,23959,23959,23559,23559,23559,23245,23245,23245
Demand,22055,22086,22021,21938,21893,21819,21740,21587,21503,21449,21377,21295,21244,21197,21140,21129,21137,21078,21042,20991,20964,20926,20923,20883,20856,20869,20844,20855,20776,20751,20721,20694,20651,20607,20579,20572,20563,20613,20627,20627,20607,20614,20632,20619,20631,20645,20670,20705,20743,20854,20982,21037,21009,21076,21137,21229,21331,21432,21520,21637,21725,22023,22288,22449,22576,22663,22739,22879,23056,23172,23325,23467,23621,23991,24367,24612,24814,24965,25095,25292,25461,25625,25754,25882,26017,26262,26476,26608,26730,26806,26865,26856,26912,26937,26996,27020,27049,27175,27229,27271,27294,27296,27354,27398,27390,27413,27501,27463,27523,27580,27638,27632,27603,27628,27484,27476,27471,27506,27539,27517,27474,27513,27548,27492,27511,27512,27562,27528,27394,27459,27434,27440,27414,27382,27347,27418,27481,27536,27602,27525,27464,27438,27441,27427,27428,27474,27545,27534,27525,27544,27546,27569,27569,27543,27497,27481,27533,27552,27566,27610,27578,27544,27579,27578,27610,27626,27640,27651,27688,27695,27721,27713,27668,27678,27685,27652,27689,27708,27765,27808,27813,27815,27850,27895,27979,28012,28051,28104,28156,28227,28283,28354,28474,28501,28529,28646,28808,28939,29097,29288,29502,29677,29861,30078,30218,30201,30302,30429,30502,30579,30636,30708,30700,30731,30748,30751,30774,30677,30603,30589,30515,30498,30452,30456,30421,30399,30379,30334,30255,30144,30115,30042,30033,30008,29953,29913,29857,29782,29695,29650,29589,29541,29504,29358,29295,29210,29181,29088,28973,28872,28738,28643,28532,28421,28312,28168,28033,27926,27805,27665,27510,27315,27151,26959,26825,26611,26343,26201,25986,25885,25736,25569,25421,25254,25088,24993,24830,24655,24520,24313,24154,24039,23906,23753,23588,23496,23404,23243,23243
Day-ahead net forecast,20675,19508,19508,19508,19508,19508,19508,19508,19508,19508,19508,19508,19508,18804,18804,18804,18804,18804,18804,18804,18804,18804,18804,18804,18804,18428,18428,18428,18428,18428,18428,18428,18428,18428,18428,18428,18428,18363,18363,18363,18363,18363,18363,18363,18363,18363,18363,18363,18363,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,20370,20370,20370,20370,20370,20370,20370,20370,20370,20370,20370,20370,22618,22618,22618,22618,22618,22618,22618,22618,22618,22618,22618,22618,22445,22445,22445,22445,22445,22445,22445,22445,22445,22445,22445,22445,20149,20149,20149,20149,20149,20149,20149,20149,20149,20149,20149,20149,19195,19195,19195,19195,19195,19195,19195,19195,19195,19195,19195,19195,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18658,18658,18658,18658,18658,18658,18658,18658,18658,18658,18658,18658,18408,18408,18408,18408,18408,18408,18408,18408,18408,18408,18408,18408,18405,18405,18405,18405,18405,18405,18405,18405,18405,18405,18405,18405,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,21906,21906,21906,21906,21906,21906,21906,21906,21906,21906,21906,21906,25120,25120,25120,25120,25120,25120,25120,25120,25120,25120,25120,25120,27520,27520,27520,27520,27520,27520,27520,27520,27520,27520,27520,27520,27465,27465,27465,27465,27465,27465,27465,27465,27465,27465,27465,27465,26840,26840,26840,26840,26840,26840,26840,26840,26840,26840,26840,26840,25767,25767,25767,25767,25767,25767,25767,25767,25767,25767,25767,25767,24612,24612,24612,24612,24612,24612,24612,24612,24612,24612,24612,24612,22763,22763,22763,22763,22763,22763,22763,22763,22763,22763,22763,22763,21127,21127,21127,21127,21127,21127,21127,21127,21127,21127,21127,21127
Net demand,19474,19474,19515,19414,19351,19254,19175,19016,18874,18814,18779,18779,18749,18754,18725,18729,18771,18727,18676,18605,18549,18518,18522,18522,18523,18596,18636,18671,18642,18563,18474,18372,18320,18212,18156,18149,18206,18163,18122,18087,18021,17969,17968,17943,17871,17838,17842,17911,17939,17971,18071,18102,18040,18025,18099,18200,18335,18426,18510,18670,18767,18981,19305,19500,19625,19700,19683,19786,19943,20181,20438,20694,20847,21102,21502,21763,21942,22120,22266,22486,22585,22666,22739,22770,22858,22947,23174,23229,23113,22941,22841,22783,22697,22457,22407,22282,22127,21901,21859,21734,21688,21783,21516,21516,20943,20743,20619,20462,20473,20638,20576,20604,20694,20670,20632,20354,20443,20357,20366,20634,20482,20295,20007,19960,19958,19645,19348,19345,19354,19400,19347,19656,19696,19550,19772,19918,20097,20034,19909,19729,19412,19108,19356,19606,19595,19656,19747,19935,20212,20362,20490,20499,20321,20292,20081,19806,20118,20203,20081,20053,19997,20241,20262,20350,20678,20512,20656,20782,20971,21044,21106,21157,21201,21384,21568,21826,21919,22069,22268,22347,22468,22566,22628,22688,22837,23154,23352,23489,23605,23698,23913,24296,24509,24655,24710,24848,25062,25264,25495,25744,26054,26254,26477,26733,26888,27128,27273,27442,27583,27616,27628,27701,27647,27590,27552,27520,27573,27559,27545,27506,27459,27456,27404,27355,27264,27169,27105,27139,27112,27011,26978,26823,26750,26753,26740,26715,26767,26755,26673,26639,26642,26594,26446,26363,26332,26198,26127,25874,25682,25457,25368,25305,25303,25228,25162,25094,24970,24899,24784,24601,24401,24242,24066,23935,23864,23626,23373,23051,22912,22794,22700,22550,22374,22233,22088,21964,21867,21609,21407,21202,21109,21096,21002,20823,20660,20582,20486,20429,20429
Solar,-42,-41,-41,-42,-42,-43,-46,-43,-41,-41,-42,-42,-41,-41,-41,-41,-42,-42,-41,-41,-41,-41,-41,-41,-42,-42,-42,-41,-41,-41,-41,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-44,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-44,-43,-43,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-45,-45,-44,-42,-39,-31,-3,32,85,178,286,340,491,724,954,1078,1211,1457,1737,1875,2060,2277,2593,2797,2950,2998,2879,3123,3088,3527,3762,3866,3922,3780,3745,3918,3925,3855,3918,3846,3846,3798,3869,3815,3598,3717,3947,4209,4055,4036,4233,4434,4463,4358,4353,4383,4168,4110,4288,4052,3958,4030,4113,4269,4371,4545,4756,4386,4239,4238,4223,4232,4065,3782,3606,3475,3511,3702,3718,3955,4078,3875,3819,3928,3891,3896,3633,3615,3525,3353,3622,3581,3501,3294,3168,3072,2955,2813,2554,2335,2031,1927,1762,1677,1596,1490,1399,1362,1363,1311,1171,1000,899,842,860,742,641,505,453,361,291,250,208,175,150,139,131,115,96,94,-45,-45,-44,-44,-44,-44,-43,-42,-42,-42,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-42,-43,-43,-43,-42,-42,-38,-36,-40,-42,-42,-41,-39,-40,-41,-39,-40,-41,-39,-39,-42,-42,-42,-42,-42,-41,-42,-42,-43,-42,-42,-42,-42,-42,-41,-41,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41
Wind,2674,2622,2607,2592,2600,2626,2667,2675,2688,2696,2645,2598,2550,2503,2463,2436,2412,2415,2433,2449,2465,2465,2443,2420,2374,2305,2254,2220,2214,2243,2307,2361,2405,2455,2486,2457,2418,2476,2545,2598,2631,2690,2709,2724,2788,2844,2844,2824,2837,2871,2913,2976,3034,3058,3054,3020,3012,3020,3011,2964,2961,2968,2931,2936,2949,2992,3059,3075,3088,2983,2850,2761,2744,2754,2784,2807,2844,2832,2806,2766,2841,2899,2947,2981,2948,2922,2896,2858,2862,2886,2913,2862,2787,2736,2701,2680,2662,2635,2578,2577,2603,2620,2683,2785,2879,2941,3016,3103,3217,3206,3135,3095,3055,3077,3180,3234,3264,3250,3285,3264,3285,3293,3349,3473,3553,3652,3734,3713,3688,3692,3694,3635,3601,3564,3556,3469,3389,3372,3417,3462,3512,3602,3623,3603,3605,3575,3552,3500,3535,3536,3547,3557,3571,3547,3535,3589,3531,3527,3577,3646,3671,3670,3670,3708,3594,3496,3384,3349,3419,3469,3551,3625,3667,3719,3771,3806,3819,3864,3804,3833,3853,3841,3838,3833,3770,3680,3680,3691,3682,3642,3553,3401,3383,3396,3424,3458,3426,3405,3359,3288,3229,3221,3191,3165,3149,3103,3025,2981,2945,2984,3025,3027,3117,3170,3231,3271,3224,3210,3163,3102,3124,3106,3109,3145,3217,3288,3302,3268,3235,3199,3220,3288,3316,3312,3289,3256,3136,3102,3110,3062,3004,3030,3085,3084,3037,3075,3129,3297,3397,3488,3476,3397,3318,3273,3253,3186,3139,3120,3121,3166,3206,3195,3195,3125,3070,3121,3156,3215,3220,3180,3147,3135,3136,3110,3119,3094,3107,3158,3203,3230,3149,3018,3006,3039,3005,3003,2980,2891
