date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2021
11-27T19:00:00,60.2,55.9,64.9,46.9,30.0,57.0,1017.1,1012.8,1021.3,0.3,5.1,36.3,18.6,15.9,19.4,9.8,60.2,60.2,6.3,13.6,273.0,4.0,7.0,36.7,6.0,19.3,24470.916666666668
11-27T20:00:00,59.9,55.9,64.0,46.2,26.1,57.0,1017.3,1012.9,1021.8,0.3,5.4,40.7,17.4,15.5,15.7,10.7,59.9,59.9,5.5,19.1,291.0,2.6,7.0,24.3,6.0,14.0,23907.916666666668
11-27T21:00:00,59.3,55.0,64.0,45.5,24.1,57.0,1017.5,1013.2,1021.8,0.2,5.9,42.8,17.8,15.1,14.7,9.6,59.3,59.3,5.0,18.9,337.0,1.1,1.0,15.2,7.0,15.0,23316.75
11-27T22:00:00,58.6,54.0,63.0,45.1,24.1,57.0,1017.7,1013.2,1022.2,0.2,6.6,40.0,17.6,13.0,14.6,14.6,58.6,58.5,5.0,22.1,25.0,1.2,3.0,18.0,2.0,14.4,22175.416666666668
11-27T23:00:00,58.3,54.0,63.0,44.1,24.1,57.0,1017.8,1013.5,1022.2,0.1,6.9,42.3,18.4,15.2,13.4,10.7,58.3,58.3,5.3,19.2,31.0,1.8,3.0,23.2,2.0,16.3,21032.25
11-28T00:00:00,57.4,52.0,62.1,43.3,23.0,55.9,1017.7,1013.4,1022.2,0.1,7.7,39.8,19.3,14.8,15.5,10.5,57.4,57.4,5.2,17.8,44.0,2.4,3.0,28.7,2.0,19.4,20171.46153846154
11-28T01:00:00,56.5,51.8,62.1,42.7,21.9,55.9,1017.5,1013.3,1022.1,0.1,8.6,40.4,22.3,12.2,12.7,12.4,56.5,56.4,4.9,19.6,51.0,2.4,3.0,29.7,2.0,20.4,19448.25
11-28T02:00:00,55.3,50.0,61.0,42.0,21.0,55.0,1017.5,1013.3,1022.0,0.1,9.8,40.9,19.3,14.5,12.4,12.9,55.3,55.1,4.6,23.7,51.0,2.7,3.0,32.1,2.0,21.4,19014.5
11-28T03:00:00,54.4,48.9,60.1,41.5,21.0,55.0,1017.4,1013.2,1021.8,0.0,10.6,38.2,20.0,16.2,14.5,11.2,54.4,54.1,4.4,23.8,55.0,2.9,3.0,33.8,2.0,22.3,18815.08333333333
11-28T04:00:00,53.9,48.9,59.0,41.0,21.9,54.0,1017.3,1012.9,1021.6,0.0,11.2,35.8,18.1,14.1,16.9,15.0,53.9,53.5,4.4,23.8,56.0,3.0,3.0,30.4,2.0,26.6,18832.33333333333
