date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2019
12-25T06:00:00,50.2,44.1,56.1,37.8,21.9,52.0,1018.7,1013.1,1023.6,0.0,14.8,36.9,20.7,13.2,12.0,17.2,50.2,49.2,4.5,25.3,61.0,2.4,3.0,31.2,2.0,17.2,251247.0
12-25T07:00:00,50.7,45.0,57.0,37.1,21.0,52.0,1019.0,1013.6,1023.9,0.0,14.3,16.1,22.7,26.7,20.7,13.9,50.7,49.7,5.1,18.9,63.0,2.7,3.0,31.3,2.0,22.2,256994.0
12-25T08:00:00,52.3,46.9,57.9,37.3,21.0,52.0,1019.5,1014.2,1024.4,0.0,12.7,16.8,21.6,25.2,20.1,16.3,52.3,51.6,5.1,17.1,63.0,3.1,3.0,33.7,2.0,24.5,256469.0
12-25T09:00:00,55.7,50.0,62.1,37.5,19.9,52.0,1019.9,1014.7,1024.9,0.1,9.4,17.6,21.7,24.9,19.6,16.1,55.7,55.4,5.6,11.3,69.0,3.3,3.0,35.1,2.0,21.5,249838.0
12-25T10:00:00,58.9,53.1,66.0,37.8,19.9,52.0,1020.2,1014.9,1025.3,0.4,6.5,16.2,20.5,21.2,24.6,17.5,58.9,58.9,5.9,14.5,72.0,2.9,3.0,27.4,2.0,23.6,247239.0
12-25T11:00:00,61.6,55.0,70.0,37.8,19.9,52.0,1019.8,1014.6,1024.7,1.1,4.6,19.6,19.8,22.4,23.7,14.5,61.6,61.5,5.8,16.9,77.0,1.6,3.0,21.8,4.0,15.3,246756.0
12-25T12:00:00,63.0,55.9,72.0,38.2,19.9,53.1,1018.8,1013.6,1023.5,1.6,3.7,19.6,18.1,22.6,25.1,14.6,63.0,63.0,6.5,12.0,240.0,1.6,7.0,22.1,4.0,13.9,249650.0
12-25T13:00:00,63.3,57.0,71.1,39.9,21.9,54.0,1018.0,1012.9,1022.8,1.7,3.4,19.9,17.4,23.0,23.3,16.4,63.3,63.3,8.1,7.1,252.0,4.8,7.0,39.8,6.0,21.3,251995.0
12-25T14:00:00,62.8,57.0,70.0,41.1,23.0,54.0,1017.6,1012.4,1022.4,1.3,3.5,19.8,15.5,23.4,25.9,15.5,62.8,62.8,9.1,4.2,254.0,6.3,7.0,48.7,6.0,21.8,257835.0
12-25T15:00:00,61.8,55.9,69.1,42.2,25.0,54.0,1017.6,1012.2,1022.5,0.9,4.1,16.1,19.9,23.8,24.8,15.4,61.8,61.8,9.6,2.9,260.0,6.8,7.0,52.7,6.0,21.6,265745.0
12-25T16:00:00,60.5,55.9,66.2,43.1,27.0,55.0,1017.6,1012.5,1022.7,0.5,5.0,14.5,21.0,21.0,25.8,17.7,60.5,60.5,9.5,2.0,261.0,6.6,7.0,55.5,6.0,18.1,282794.0
12-25T17:00:00,58.7,54.0,64.0,43.9,26.1,55.0,1017.8,1012.4,1022.9,0.3,6.6,14.5,23.2,24.9,23.2,14.2,58.7,58.6,8.3,2.9,265.0,5.5,7.0,51.0,6.0,16.5,305335.0
12-25T18:00:00,57.8,53.6,63.0,44.0,28.0,55.0,1018.0,1012.3,1023.0,0.1,7.3,19.4,24.8,22.1,19.7,14.0,57.8,57.7,7.3,7.1,273.0,4.4,7.0,44.4,6.0,14.9,305432.0
12-25T19:00:00,57.2,53.1,62.1,43.7,26.1,55.0,1018.2,1012.9,1023.2,0.1,7.9,32.6,17.9,17.2,20.8,11.5,57.2,57.1,6.2,14.4,279.0,2.9,7.0,29.6,6.0,18.1,303630.0
12-25T20:00:00,56.8,52.0,61.9,43.2,24.1,55.0,1018.5,1013.2,1023.4,0.0,8.2,35.1,20.0,15.4,15.6,13.9,56.8,56.7,5.5,18.2,309.0,1.8,7.0,20.1,1.0,17.0,300856.0
12-25T21:00:00,56.2,52.0,61.0,42.5,24.1,55.0,1018.7,1013.3,1023.6,0.0,8.8,38.3,17.2,14.6,15.8,14.1,56.2,56.1,5.1,21.6,1.0,1.0,3.0,13.8,1.0,12.7,293405.0
12-25T22:00:00,55.6,51.1,60.1,42.2,24.1,54.0,1018.9,1013.3,1024.0,0.0,9.5,36.3,15.4,13.8,17.2,17.2,55.6,55.4,4.9,22.1,41.0,1.6,3.0,21.1,1.0,13.7,279353.0
