date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,AvgMegawatts2019-2020
09-30T03:00:00,64.0,60.1,68.0,58.4,52.0,63.0,1012.1,1009.1,1014.9,0.8,1.8,32.3,22.1,8.2,12.4,25.1,64.0,64.0,3.2,34.0,86.0,0.3,3.0,22.5,7.0,14.2,20998.83333333333
09-30T04:00:00,63.6,60.1,68.0,58.2,51.1,63.0,1012.2,1009.3,1015.0,0.7,2.1,27.6,21.2,8.2,13.9,29.0,63.6,63.6,3.4,31.1,84.0,0.7,3.0,24.2,2.0,13.5,21290.791666666664
09-30T05:00:00,63.5,59.0,68.0,58.0,51.1,63.0,1012.5,1009.4,1015.3,0.7,2.2,27.1,19.2,12.2,11.1,30.4,63.5,63.5,3.3,33.1,90.0,0.9,3.0,23.8,2.0,11.0,22439.708333333336
09-30T06:00:00,63.8,60.1,68.0,57.6,51.1,63.0,1012.8,1009.9,1015.6,0.8,2.0,14.7,19.4,19.4,14.7,31.8,63.8,63.8,3.9,24.4,89.0,0.7,3.0,25.9,7.0,10.0,24310.58333333333
09-30T07:00:00,65.3,61.0,70.0,57.8,51.1,64.0,1013.3,1010.2,1016.2,1.5,1.2,17.0,18.5,18.8,18.3,27.4,65.3,65.3,3.9,25.3,104.0,1.1,3.0,25.2,4.0,11.0,25335.291666666664
09-30T08:00:00,68.0,63.0,73.9,57.5,48.0,64.0,1013.6,1010.7,1016.6,3.4,0.5,18.8,21.0,18.1,18.3,23.8,68.0,68.0,4.4,18.0,149.0,1.2,3.0,21.7,4.0,19.5,25801.75
09-30T09:00:00,70.9,64.9,79.0,56.9,48.0,63.0,1013.9,1010.7,1016.7,6.1,0.2,20.2,21.2,23.2,16.3,19.0,70.9,70.9,4.9,17.4,227.0,1.8,7.0,26.9,4.0,15.6,25969.666666666664
09-30T10:00:00,72.8,66.0,82.0,56.8,46.9,63.0,1013.8,1010.6,1016.8,7.9,0.1,21.6,24.1,19.5,18.8,16.1,72.8,72.7,6.5,10.0,243.0,4.8,7.0,43.3,6.0,21.4,26453.5
09-30T11:00:00,73.6,66.9,82.0,57.5,50.0,64.0,1013.5,1010.4,1016.4,8.6,0.1,23.3,26.9,21.4,15.6,12.7,73.6,73.5,8.9,2.7,250.0,8.4,7.0,61.9,6.0,27.7,27317.666666666668
09-30T12:00:00,73.5,66.9,81.0,58.1,52.0,63.0,1013.1,1009.8,1016.0,8.6,0.1,25.6,27.0,24.0,12.8,10.7,73.5,73.5,10.8,0.0,252.0,10.3,7.0,68.5,6.0,27.2,28632.583333333336
09-30T13:00:00,73.3,68.0,80.1,58.4,52.0,63.0,1012.4,1009.1,1015.3,8.4,0.0,26.2,28.3,24.5,13.8,7.2,73.3,73.3,11.9,0.2,255.0,11.6,7.0,73.6,6.0,23.8,30178.416666666664
09-30T14:00:00,72.9,66.9,80.1,58.2,52.0,64.0,1012.0,1008.6,1014.7,7.9,0.0,25.9,28.6,25.9,12.6,7.1,72.9,72.9,12.8,0.0,256.0,12.4,7.0,77.8,6.0,20.1,31747.541666666664
09-30T15:00:00,72.1,66.0,79.0,58.4,52.0,63.0,1011.7,1008.5,1014.4,7.1,0.0,24.0,29.0,26.3,13.2,7.5,72.1,72.1,13.2,0.0,257.0,12.8,7.0,80.7,6.0,17.4,32909.25
09-30T16:00:00,70.9,64.9,77.0,58.7,52.0,63.0,1011.4,1008.1,1014.1,5.9,0.1,24.8,28.9,21.6,13.2,11.4,70.9,70.9,12.8,0.2,257.0,12.3,7.0,79.9,6.0,17.4,33753.95833333333
09-30T17:00:00,69.2,64.0,75.0,58.9,52.0,63.0,1011.4,1008.2,1014.1,4.4,0.2,27.3,29.1,20.0,11.7,11.9,69.2,69.2,11.5,0.2,257.0,11.2,7.0,79.0,6.0,19.1,34417.375
09-30T18:00:00,67.6,63.0,73.0,59.3,54.0,64.0,1011.5,1008.3,1014.2,3.0,0.4,24.4,30.2,22.0,10.3,13.1,67.6,67.6,9.7,0.9,255.0,9.3,7.0,68.6,6.0,27.8,34231.12499999999
09-30T19:00:00,67.1,63.0,72.0,59.3,54.0,63.0,1011.9,1008.7,1014.6,2.7,0.6,37.5,20.3,17.9,10.8,13.4,67.2,67.1,8.1,1.1,253.0,7.6,7.0,57.5,6.0,36.2,33970.791666666664
09-30T20:00:00,66.9,63.0,72.0,59.2,54.0,63.0,1012.2,1009.1,1015.1,2.5,0.6,40.2,21.4,13.9,12.9,11.5,66.9,66.9,6.5,7.8,249.0,5.7,7.0,44.0,6.0,35.4,32237.708333333336
09-30T21:00:00,66.6,63.0,72.0,59.3,54.0,64.0,1012.5,1009.5,1015.3,2.3,0.7,41.6,23.6,10.3,10.0,14.5,66.6,66.6,5.5,12.0,240.0,4.2,6.0,37.0,7.0,29.2,30189.166666666664
09-30T22:00:00,66.4,62.1,71.1,59.1,53.1,64.0,1012.6,1009.5,1015.3,2.1,0.7,37.7,25.2,9.5,11.8,15.7,66.4,66.4,4.7,19.6,230.0,2.8,6.0,25.9,7.0,23.1,27763.625
09-30T23:00:00,66.0,62.1,70.0,59.0,53.1,63.0,1012.6,1009.5,1015.4,1.8,0.8,39.1,23.4,12.2,9.5,15.8,66.0,66.0,4.2,21.4,228.0,1.6,7.0,20.7,6.0,19.0,25668.18181818182
10-01T00:00:00,65.3,61.0,70.0,58.8,53.1,63.0,1012.6,1009.5,1015.3,1.4,1.1,39.8,20.1,10.2,10.4,19.4,65.3,65.3,4.1,22.2,214.0,0.9,7.0,19.6,3.0,17.8,24106.692307692312
10-01T01:00:00,64.9,61.0,69.1,58.7,53.1,63.0,1012.6,1009.5,1015.4,1.2,1.3,36.8,17.2,13.1,11.9,21.1,64.9,64.9,4.0,25.1,184.0,0.4,3.0,21.7,7.0,17.0,22864.75
10-01T02:00:00,64.3,60.1,69.1,58.5,52.0,63.0,1012.4,1009.3,1015.3,0.9,1.6,35.5,18.2,10.9,10.9,24.3,64.3,64.3,3.2,37.1,93.0,0.3,3.0,19.1,7.0,13.3,22023.375
10-01T03:00:00,63.9,60.1,68.0,58.3,52.0,63.0,1012.2,1009.1,1015.0,0.8,1.9,33.1,21.6,8.2,12.2,24.9,63.9,63.9,3.2,34.4,83.0,0.4,3.0,22.4,7.0,13.2,21635.375
10-01T04:00:00,63.5,59.0,68.0,58.0,51.1,63.0,1012.2,1009.3,1015.1,0.7,2.2,28.3,20.8,8.0,13.0,29.9,63.5,63.5,3.4,31.7,86.0,0.8,3.0,24.8,2.0,13.5,21828.5
