date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2019,Megawatts_2020,Megawatts_2021
09-25T04:00:00,64.3,61.0,68.0,59.2,55.0,63.0,1011.9,1008.9,1014.4,0.9,1.6,26.2,19.9,8.6,11.7,33.6,64.4,64.3,3.3,31.4,99.0,0.4,3.0,22.0,7.0,13.7,274211.0,264117.0,259489.0
09-25T05:00:00,64.2,61.0,68.0,59.1,54.0,63.0,1012.1,1009.0,1014.6,0.8,1.6,25.1,18.5,13.2,10.8,32.5,64.3,64.2,3.2,35.1,86.0,0.7,3.0,21.5,2.0,9.4,289586.0,275619.0,264929.0
09-25T06:00:00,64.5,61.0,69.1,58.8,53.1,63.0,1012.5,1009.4,1015.0,1.0,1.5,12.7,18.0,19.6,15.7,34.0,64.6,64.5,3.8,26.0,103.0,0.6,3.0,23.3,7.0,11.5,317073.0,293090.0,272969.0
09-25T07:00:00,65.9,62.1,71.1,59.1,53.1,64.0,1012.9,1009.9,1015.4,1.8,0.9,14.4,16.4,20.1,18.8,30.3,66.0,65.9,3.7,28.7,114.0,0.9,3.0,21.4,4.0,12.4,330043.0,301692.0,275267.0
09-25T08:00:00,68.4,64.0,73.9,58.9,53.1,64.0,1013.3,1010.3,1015.7,3.7,0.3,16.5,19.5,20.0,19.2,24.8,68.4,68.4,4.3,21.3,181.0,1.1,3.0,17.0,4.0,16.2,336784.0,307173.0,280686.0
09-25T09:00:00,71.1,64.9,79.0,58.5,52.0,64.0,1013.5,1010.3,1016.0,6.2,0.1,18.6,20.8,22.6,18.9,19.1,71.1,71.1,5.0,17.4,238.0,2.4,7.0,31.0,6.0,16.4,346110.0,306659.0,281125.0
09-25T10:00:00,72.9,66.9,80.1,58.5,52.0,64.0,1013.5,1010.3,1016.0,7.9,0.1,20.9,23.7,19.5,20.7,15.1,72.9,72.8,6.9,7.6,247.0,5.5,7.0,50.0,6.0,22.1,356425.0,308020.0,278876.0
09-25T11:00:00,73.6,68.0,81.0,58.9,53.1,64.0,1013.2,1010.0,1015.8,8.6,0.0,23.6,27.7,21.9,15.9,10.8,73.6,73.6,9.1,1.8,252.0,8.5,7.0,66.8,6.0,23.7,372430.0,315796.0,280489.0
09-25T12:00:00,73.6,68.0,80.1,59.3,54.0,64.0,1012.8,1009.4,1015.4,8.7,0.0,26.7,26.7,25.5,12.6,8.4,73.6,73.6,10.8,0.0,252.0,10.1,7.0,66.5,6.0,28.3,390346.0,326991.0,289202.0
09-25T13:00:00,73.5,68.0,80.1,59.4,55.0,64.0,1012.2,1008.9,1014.8,8.5,0.0,27.6,29.7,23.0,14.3,5.4,73.5,73.5,12.0,0.2,255.0,11.6,7.0,74.9,6.0,22.2,410181.0,341859.0,303319.0
09-25T14:00:00,73.2,68.0,79.0,59.3,54.0,64.0,1011.7,1008.4,1014.3,8.2,0.0,24.6,34.3,22.5,13.1,5.5,73.2,73.2,12.9,0.0,256.0,12.4,7.0,77.9,6.0,19.3,432417.0,361461.0,321376.0
09-25T15:00:00,72.3,67.1,79.0,59.4,55.0,63.0,1011.3,1008.1,1014.1,7.3,0.0,23.2,34.4,23.9,12.1,6.4,72.3,72.3,13.3,0.0,256.0,12.9,7.0,81.9,6.0,16.2,454483.0,379513.0,338926.0
09-25T16:00:00,71.1,66.0,77.0,59.5,54.0,63.0,1011.1,1007.9,1013.9,6.2,0.0,23.7,33.0,21.2,12.8,9.3,71.1,71.1,12.9,0.0,257.0,12.4,7.0,77.6,6.0,19.4,466579.0,392001.0,351204.0
09-25T17:00:00,69.5,64.9,75.0,59.7,55.0,63.0,1011.0,1007.9,1013.8,4.6,0.1,25.9,31.8,18.9,13.3,10.0,69.5,69.5,11.7,0.2,256.0,11.3,7.0,80.1,6.0,17.7,470968.0,396795.0,358127.0
09-25T18:00:00,67.9,64.0,73.0,59.8,55.0,64.0,1011.1,1008.1,1013.8,3.2,0.3,22.7,32.0,19.6,12.6,13.1,67.9,67.9,10.1,0.4,255.0,9.7,7.0,70.1,6.0,26.6,459682.0,389276.0,357402.0
09-25T19:00:00,67.3,63.0,72.0,59.9,55.0,63.1,1011.4,1008.3,1014.1,2.7,0.4,35.6,21.2,16.5,12.0,14.6,67.4,67.3,8.4,1.1,253.0,7.9,7.0,59.7,6.0,34.1,455287.0,384448.0,354917.0
09-25T20:00:00,67.0,63.0,72.0,59.9,55.9,64.0,1011.9,1008.7,1014.5,2.6,0.5,40.1,20.7,11.1,14.4,13.7,67.1,67.0,6.8,6.5,249.0,6.0,7.0,47.7,6.0,34.8,434603.0,367473.0,340901.0
09-25T21:00:00,66.8,63.0,72.0,60.0,55.9,63.7,1012.1,1009.1,1014.7,2.4,0.6,40.0,22.7,10.4,11.8,14.9,66.9,66.8,5.6,10.0,241.0,4.4,6.0,37.7,7.0,30.6,416907.0,350604.0,326876.0
09-25T22:00:00,66.6,63.0,71.1,59.8,55.9,64.0,1012.3,1009.1,1014.9,2.2,0.6,36.3,24.4,9.8,13.5,16.0,66.7,66.6,4.8,18.9,233.0,3.0,6.0,27.5,7.0,25.1,397190.0,328263.0,309019.0
09-25T23:00:00,66.2,63.0,71.1,59.7,55.0,63.0,1012.3,1009.1,1014.9,1.9,0.7,38.2,22.2,12.6,11.4,15.7,66.4,66.2,4.4,20.0,234.0,2.1,7.0,24.8,6.0,22.1,336467.0,280261.0,289452.0
09-26T00:00:00,65.7,62.1,70.0,59.7,55.0,63.0,1012.2,1009.1,1014.9,1.6,0.9,40.1,19.7,8.4,12.6,19.2,65.8,65.7,4.3,20.7,238.0,1.4,7.0,25.2,3.0,15.1,340485.0,313640.0,298084.0
09-26T01:00:00,65.4,62.1,70.0,59.6,55.0,63.0,1012.2,1009.1,1014.9,1.4,1.0,36.4,18.5,10.0,15.2,20.0,65.5,65.4,4.0,23.6,236.0,0.7,7.0,19.9,3.0,17.2,297419.0,274762.0,263980.0
09-26T02:00:00,64.9,61.0,69.1,59.4,55.0,63.0,1012.0,1009.1,1014.6,1.1,1.3,33.8,18.9,10.3,11.8,25.2,65.0,64.9,3.3,33.8,238.0,0.2,7.0,18.0,3.0,16.3,285555.0,264213.0,254458.0
09-26T03:00:00,64.5,61.0,68.0,59.3,55.0,63.0,1011.8,1008.8,1014.4,1.0,1.4,29.7,21.4,9.6,12.1,27.1,64.6,64.5,3.2,33.8,330.0,0.0,3.0,19.4,7.0,17.2,279410.0,257863.0,248569.0
09-26T04:00:00,64.3,60.8,68.0,59.1,54.0,63.0,1011.9,1008.9,1014.5,0.9,1.6,26.3,19.3,8.9,12.4,33.1,64.3,64.3,3.4,30.3,86.0,0.4,3.0,22.5,7.0,14.4,281990.0,256448.0,246081.0
09-26T05:00:00,64.2,60.1,68.0,58.9,54.0,63.0,1012.1,1009.0,1014.6,0.9,1.7,25.7,18.6,12.1,11.5,32.0,64.2,64.2,3.2,34.0,84.0,0.7,3.0,21.6,2.0,9.4,298074.0,260107.0,249259.0
09-26T06:00:00,64.5,60.1,69.1,58.7,53.1,63.0,1012.5,1009.4,1015.1,1.0,1.6,13.4,18.1,19.5,15.1,34.0,64.5,64.5,3.8,25.8,99.0,0.5,3.0,23.0,7.0,11.7,326347.0,266864.0,254264.0
09-26T07:00:00,65.8,62.1,71.1,59.0,53.1,64.0,1013.0,1009.9,1015.5,1.8,0.9,15.2,17.0,20.2,18.1,29.6,65.9,65.8,3.7,28.2,117.0,0.9,3.0,21.0,4.0,12.4,339277.0,270528.0,255635.0
09-26T08:00:00,68.4,64.0,73.9,58.8,53.1,64.0,1013.3,1010.3,1015.8,3.7,0.3,16.8,20.4,19.3,18.6,24.9,68.4,68.4,4.3,20.7,180.0,1.1,4.0,17.4,3.0,16.4,344360.0,275600.0,259151.0
09-26T09:00:00,71.1,64.9,79.0,58.4,51.1,64.0,1013.5,1010.4,1016.1,6.2,0.1,19.0,21.2,22.0,18.0,19.8,71.1,71.1,4.9,16.9,238.0,2.4,7.0,30.9,6.0,16.3,352077.0,277096.0,259336.0
09-26T10:00:00,72.8,66.9,80.1,58.4,51.1,64.0,1013.5,1010.3,1016.1,7.9,0.1,21.1,23.2,19.3,20.9,15.5,72.8,72.7,6.9,8.2,246.0,5.4,7.0,49.4,6.0,21.9,356612.0,277173.0,257125.0
09-26T11:00:00,73.5,68.0,81.0,58.7,53.1,64.0,1013.2,1010.0,1015.9,8.5,0.0,23.2,26.4,22.0,16.9,11.4,73.5,73.5,9.1,2.0,251.0,8.5,7.0,65.6,6.0,24.2,360642.0,281792.0,253610.0
09-26T12:00:00,73.6,68.0,80.1,59.2,54.0,64.0,1012.8,1009.4,1015.5,8.6,0.0,25.8,27.0,25.4,13.1,8.7,73.6,73.6,10.8,0.0,252.0,10.2,7.0,67.9,6.0,26.9,367168.0,294371.0,254006.0
