HLY_TEMP_NORMAL_SF,HLY_TEMP_10PCTL_SF,HLY_TEMP_90PCTL_SF,HLY_DEWP_NORMAL_SF,HLY_DEWP_10PCTL_SF,HLY_DEWP_90PCTL_SF,HLY_PRES_NORMAL_SF,HLY_PRES_10PCTL_SF,HLY_PRES_90PCTL_SF,HLY_CLDH_NORMAL_SF,HLY_HTDH_NORMAL_SF,HLY_CLOD_PCTCLR_SF,HLY_CLOD_PCTFEW_SF,HLY_CLOD_PCTSCT_SF,HLY_CLOD_PCTBKN_SF,HLY_CLOD_PCTOVC_SF,HLY_HIDX_NORMAL_SF,HLY_WCHL_NORMAL_SF,HLY_WIND_AVGSPD_SF,HLY_WIND_PCTCLM_SF,HLY_WIND_VCTDIR_SF,HLY_WIND_VCTSPD_SF,HLY_WIND_1STDIR_SF,HLY_WIND_1STPCT_SF,HLY_WIND_2NDDIR_SF,HLY_WIND_2NDPCT_SF
[0.16767579317092896],[0.16790145635604858],[0.16754278540611267],[0.167713463306427],[0.1677320897579193],[0.16762156784534454],[0.17372114956378937],[0.16880883276462555],[0.17540410161018372],[0.16750705242156982],[0.17396435141563416],[0.16944074630737305],[0.1676887571811676],[0.16771839559078217],[0.16861356794834137],[0.16991285979747772],[0.16767579317092896],[0.16768775880336761],[0.16764523088932037],[0.17168603837490082],[0.16967330873012543],[0.16757279634475708],[0.1689968854188919],[0.1676165610551834],[0.1733432412147522],[0.16779354214668274]
[0.2069896161556244],[0.2071608155965805],[0.2068890929222107],[0.20701800286769867],[0.20703209936618805],[0.2069484293460846],[0.21146102249622345],[0.20785361528396606],[0.21273356676101685],[0.206861674785614],[0.21164357662200928],[0.20832180976867676],[0.20699948072433472],[0.20702287554740906],[0.20770585536956787],[0.20867504179477692],[0.2069896161556244],[0.20699867606163025],[0.20696650445461273],[0.20995743572711945],[0.2084968090057373],[0.20691165328025818],[0.20800316333770752],[0.20694467425346375],[0.21115419268608093],[0.20707906782627106]
[0.23762327432632446],[0.23774679005146027],[0.23754975199699402],[0.23764371871948242],[0.23765388131141663],[0.23759311437606812],[0.24082297086715698],[0.23824501037597656],[0.24196206033229828],[0.2375299036502838],[0.24098128080368042],[0.23858463764190674],[0.23763012886047363],[0.23764710128307343],[0.2381398230791092],[0.23883771896362305],[0.23762327432632446],[0.23762992024421692],[0.23760637640953064],[0.23974506556987762],[0.23871105909347534],[0.23756623268127441],[0.2383531630039215],[0.23759058117866516],[0.240592360496521],[0.23768851161003113]
[0.27171751856803894],[0.2718534469604492],[0.2716372311115265],[0.2717401087284088],[0.2717513144016266],[0.2716846466064453],[0.2753036618232727],[0.27240189909935],[0.27637532353401184],[0.27161556482315063],[0.2754565477371216],[0.27277812361717224],[0.27172529697418213],[0.2717435359954834],[0.27228468656539917],[0.27306002378463745],[0.27171751856803894],[0.27172473073005676],[0.2716990113258362],[0.27409595251083374],[0.2729176878929138],[0.27165529131889343],[0.2725183665752411],[0.2716817259788513],[0.275064080953598],[0.27178868651390076]
[0.2962452471256256],[0.29635846614837646],[0.2961783707141876],[0.29626405239105225],[0.2962733507156372],[0.2962178885936737],[0.2992066442966461],[0.2968158721923828],[0.30012524127960205],[0.2961602509021759],[0.2993367314338684],[0.29712721705436707],[0.29625168442726135],[0.2962671220302582],[0.296718567609787],[0.2973608374595642],[0.2962452471256256],[0.2962512671947479],[0.2962297797203064],[0.29820936918258667],[0.29724326729774475],[0.296193391084671],[0.2969142198562622],[0.2962154448032379],[0.2990020215511322],[0.2963046133518219]
[0.30580633878707886],[0.3058934509754181],[0.30575481057167053],[0.3058207929134369],[0.3058280050754547],[0.305785208940506],[0.3080861270427704],[0.3062450587749481],[0.3088175058364868],[0.30574092268943787],[0.3081893026828766],[0.30648520588874817],[0.30581134557724],[0.3058231472969055],[0.3061702847480774],[0.30666497349739075],[0.30580633878707886],[0.3058110475540161],[0.30579447746276855],[0.3073180019855499],[0.3065745532512665],[0.30576643347740173],[0.3063204884529114],[0.3057834208011627],[0.30792832374572754],[0.30585208535194397]
[0.3021449148654938],[0.3022216260433197],[0.3020995259284973],[0.30215761065483093],[0.3021639883518219],[0.30212628841400146],[0.30415961146354675],[0.30253127217292786],[0.304781049489975],[0.30208730697631836],[0.30424773693084717],[0.30274298787117004],[0.30214929580688477],[0.3021596074104309],[0.3024652898311615],[0.30290162563323975],[0.3021449148654938],[0.3021489679813385],[0.3021344244480133],[0.30348074436187744],[0.30282166600227356],[0.3021097481250763],[0.3025975525379181],[0.30212467908859253],[0.3040221035480499],[0.3021850883960724]
[0.2647687792778015],[0.2648235559463501],[0.2647364139556885],[0.26477792859077454],[0.2647823989391327],[0.2647554576396942],[0.2662045955657959],[0.26504483819007874],[0.2666545510292053],[0.2647276222705841],[0.2662683427333832],[0.2651958465576172],[0.2647719383239746],[0.26477932929992676],[0.26499778032302856],[0.26530900597572327],[0.2647687792778015],[0.2647717297077179],[0.2647612988948822],[0.26572081446647644],[0.2652520537376404],[0.2647436559200287],[0.2650923430919647],[0.2647543251514435],[0.26610565185546875],[0.26479753851890564]
[0.2322053462266922],[0.2322418987751007],[0.23218373954296112],[0.2322114109992981],[0.23221445083618164],[0.23219650983810425],[0.23316343128681183],[0.232389435172081],[0.23346500098705292],[0.23217791318893433],[0.2332061529159546],[0.2324901819229126],[0.23220743238925934],[0.2322123646736145],[0.23235805332660675],[0.23256562650203705],[0.2322053462266922],[0.2322073131799698],[0.23220038414001465],[0.23284058272838593],[0.2325276881456375],[0.23218859732151031],[0.23242104053497314],[0.23219576478004456],[0.2330975979566574],[0.23222453892230988]
[0.2072334736585617],[0.20726028084754944],[0.20721764862537384],[0.20723791420459747],[0.20724013447761536],[0.20722703635692596],[0.20793631672859192],[0.2073684185743332],[0.2081553339958191],[0.2072133719921112],[0.2079673558473587],[0.20744231343269348],[0.20723500847816467],[0.20723865926265717],[0.2073454111814499],[0.20749761164188385],[0.2072334736585617],[0.20723488926887512],[0.2072298377752304],[0.2076994776725769],[0.20746979117393494],[0.20722122490406036],[0.207391619682312],[0.2072264403104782],[0.20788808166980743],[0.2072475552558899]
[0.187528595328331],[0.18754807114601135],[0.18751710653305054],[0.18753184378147125],[0.1875334531068802],[0.18752388656139374],[0.18803952634334564],[0.18762674927711487],[0.1881997287273407],[0.18751399219036102],[0.18806220591068268],[0.18768049776554108],[0.18752972781658173],[0.18753236532211304],[0.18761005997657776],[0.18772068619728088],[0.187528595328331],[0.18752965331077576],[0.1875259280204773],[0.18786735832691193],[0.18770049512386322],[0.18751966953277588],[0.18764366209506989],[0.18752352893352509],[0.18800437450408936],[0.18753883242607117]
[0.16339364647865295],[0.16340896487236023],[0.1633845418691635],[0.1633961796760559],[0.163397416472435],[0.16338995099067688],[0.16379693150520325],[0.16347110271453857],[0.16392333805561066],[0.16338211297988892],[0.16381481289863586],[0.16351348161697388],[0.1633945107460022],[0.16339659690856934],[0.16345787048339844],[0.16354523599147797],[0.16339364647865295],[0.1633944809436798],[0.16339153051376343],[0.16366100311279297],[0.16352927684783936],[0.16338658332824707],[0.16348442435264587],[0.16338959336280823],[0.1637692004442215],[0.16340170800685883]
[0.14375700056552887],[0.1437665969133377],[0.14375127851963043],[0.14375858008861542],[0.14375938475131989],[0.14375466108322144],[0.14400969445705414],[0.14380551874637604],[0.1440887451171875],[0.14374977350234985],[0.1440209150314331],[0.14383208751678467],[0.14375755190849304],[0.1437588632106781],[0.14379721879959106],[0.14385202527046204],[0.14375700056552887],[0.14375750720500946],[0.14375567436218262],[0.1439245194196701],[0.14384198188781738],[0.14375260472297668],[0.14381389319896698],[0.1437544822692871],[0.1439923346042633],[0.1437620371580124]
[0.1259024292230606],[0.1259087175130844],[0.12589862942695618],[0.12590345740318298],[0.12590394914150238],[0.12590087950229645],[0.1260693222284317],[0.1259344518184662],[0.1261216551065445],[0.125897616147995],[0.12607669830322266],[0.12595199048519135],[0.12590274214744568],[0.12590362131595612],[0.12592899799346924],[0.1259651631116867],[0.1259024292230606],[0.12590272724628448],[0.1259015053510666],[0.12601307034492493],[0.12595854699611664],[0.12589947879314423],[0.1259399950504303],[0.12590071558952332],[0.12605786323547363],[0.12590573728084564]
