date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2020
02-17T01:00:00,55.0,50.0,60.1,45.5,32.0,55.0,1017.5,1012.2,1021.8,0.0,10.1,27.9,18.1,12.5,19.1,22.5,55.0,54.6,5.7,18.4,58.0,1.3,3.0,27.6,2.0,14.9,232495.0
02-17T02:00:00,54.0,48.9,59.0,45.2,33.1,55.0,1017.3,1012.0,1021.8,0.0,11.0,26.7,19.5,10.5,21.7,21.7,54.0,53.6,5.0,22.4,63.0,1.7,3.0,31.4,2.0,13.5,226866.0
02-17T03:00:00,53.2,48.0,57.9,44.8,30.9,54.0,1017.0,1011.6,1021.6,0.0,11.8,28.8,16.9,13.6,17.6,23.1,53.2,52.7,4.9,26.0,68.0,1.9,3.0,28.5,2.0,18.1,225465.0
02-17T04:00:00,52.7,46.9,57.9,44.3,30.0,54.0,1016.9,1011.6,1021.6,0.0,12.3,25.2,16.8,14.0,20.3,23.8,52.7,52.1,5.0,23.4,73.0,2.1,3.0,34.3,2.0,15.3,230908.0
02-17T05:00:00,52.2,46.0,57.9,43.9,30.0,54.0,1017.0,1011.6,1021.7,0.0,12.8,25.9,17.1,14.3,18.1,24.6,52.2,51.6,4.9,19.8,71.0,2.4,3.0,35.3,2.0,16.6,243476.0
02-17T06:00:00,52.0,46.0,57.9,43.4,28.9,54.0,1017.3,1011.9,1022.1,0.0,13.0,20.3,18.7,19.0,17.0,25.1,52.0,51.3,5.0,20.2,69.0,2.5,3.0,35.3,2.0,19.9,260753.0
02-17T07:00:00,52.6,46.9,57.9,43.2,28.0,54.0,1017.7,1012.2,1022.6,0.0,12.4,11.8,16.2,23.6,23.6,24.9,52.6,51.9,5.5,16.2,73.0,3.0,3.0,38.2,2.0,19.2,267451.0
02-17T08:00:00,54.7,48.9,60.1,43.6,28.0,55.0,1018.2,1012.7,1023.0,0.1,10.3,11.6,17.7,22.5,25.8,22.3,54.7,54.3,5.6,14.7,68.0,3.1,3.0,35.6,2.0,22.5,262840.0
02-17T09:00:00,57.8,52.0,64.2,44.0,28.9,55.0,1018.6,1012.7,1023.5,0.4,7.6,11.0,18.9,23.8,23.8,22.5,57.8,57.6,6.2,13.8,81.0,2.8,3.0,35.4,2.0,13.9,252007.0
02-17T10:00:00,60.4,54.0,69.1,44.0,28.9,55.0,1018.7,1012.9,1023.3,1.0,5.6,13.2,15.9,19.2,28.2,23.6,60.4,60.3,6.4,13.3,102.0,1.5,3.0,23.2,4.0,17.7,244002.0
