Net Demand 10/15/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00.1,
Hour-ahead forecast,21664,21360,21360,21360,21173,21173,21173,20879,20879,20879,20594,20594,20594,20437,20437,20437,20255,20255,20255,20131,20131,20131,20001,20001,20001,19923,19923,19923,19818,19818,19818,19721,19721,19721,19647,19647,19647,19609,19609,19609,19583,19583,19583,19596,19596,19596,19617,19617,19617,19804,19804,19804,19956,19956,19956,20097,20097,20097,20301,20301,20301,20753,20753,20753,21136,21136,21136,21539,21539,21539,21972,21972,21972,22855,22855,22855,23489,23489,23489,24035,24035,24035,24447,24447,24447,24668,24668,24668,24754,24754,24754,24689,24689,24689,24716,24716,24716,24744,24744,24744,24681,24681,24681,24519,24519,24519,24501,24501,24501,24542,24542,24542,24418,24418,24418,24288,24288,24288,24257,24257,24257,24293,24293,24293,24213,24213,24213,24207,24207,24207,24163,24163,24163,24066,24066,24066,24047,24047,24047,23991,23991,23991,23821,23821,23821,23811,23811,23811,23810,23810,23810,23933,23933,23933,24160,24160,24160,24268,24268,24268,24533,24533,24533,24753,24753,24753,24909,24909,24909,25056,25056,25056,25339,25339,25339,25561,25561,25561,25855,25855,25855,26349,26349,26349,26791,26791,26791,27054,27054,27054,27419,27419,27419,27541,27541,27541,27836,27836,27836,28022,28022,28022,27867,27867,27867,28510,28510,28510,28665,28665,28665,28831,28831,28831,29120,29120,29120,28994,28994,28994,29436,29436,29436,29792,29792,29792,30022,30022,30022,29860,29860,29860,29688,29688,29688,29517,29517,29517,29279,29279,29279,28750,28750,28750,28398,28398,28398,28122,28122,28122,27765,27765,27765,27407,27407,27407,27001,27001,27001,26543,26543,26543,26042,26042,26042,25494,25494,25494,25002,25002,25002,24429,24429,24429,23870,23870,23870,23386,23386,23386,23014,23014,23014,22633,22633,22633,22264,22264,22264,
Demand,21474,21433,21391,21308,21198,21080,21011,20926,20839,20754,20693,20626,20552,20526,20490,20431,20385,20354,20280,20234,20193,20124,20059,20015,19978,19937,19897,19853,19832,19822,19777,19764,19724,19683,19647,19632,19607,19610,19638,19613,19613,19606,19563,19587,19568,19581,19565,19609,19629,19699,19791,19841,19877,19910,19944,19988,20054,20116,20177,20256,20371,20540,20811,20922,21041,21128,21239,21386,21535,21644,21796,21919,22074,22507,22902,23113,23333,23436,23599,23851,24025,24132,24252,24321,24377,24561,24671,24772,24893,24919,24924,24856,24902,24852,24717,24794,24768,24784,24817,24804,24779,24748,24710,24735,24742,24664,24620,24647,24526,24605,24632,24543,24562,24517,24429,24388,24352,24336,24316,24304,24272,24294,24294,24247,24216,24209,24180,24175,24173,24093,24071,23999,23970,24021,24054,23964,24002,23919,23851,23875,23476,23867,23838,23750,23763,23801,23816,23808,23776,23799,23834,23901,23959,24001,24047,24083,24184,24264,24346,24439,24444,24506,24544,24569,24614,24713,24853,24960,25061,25219,25257,25405,25492,25598,25716,25711,25793,25864,25936,26128,26219,26288,26366,26530,26696,26753,26888,26969,27054,27128,27284,27299,27432,27395,27450,27556,27645,27766,27809,27952,28134,28185,28264,28371,28426,28428,28429,28524,28614,28749,28727,28826,28829,28903,28976,29029,28984,28882,28875,29064,29148,29286,29377,29571,29723,29792,29879,29904,29853,29807,29682,29615,29623,29559,29494,29425,29380,29264,29207,29086,28919,28811,28721,28708,28614,28500,28385,28293,28206,28095,27980,27853,27681,27530,27407,27270,27181,27042,26869,26730,26560,26397,26261,26107,25914,25658,25437,25253,25090,24891,24712,24538,24376,24216,24001,23849,23692,23528,23430,23274,23117,23003,22881,22729,22581,22451,22330,22231,22112,
Day-ahead net forecast,Net demand,20655,20580,20535,20474,20373,20265,20158,20092,20008,19901,19871,19842,19830,19821,19804,19785,19736,19719,19676,19634,19614,19580,19528,19478,19441,19410,19387,19325,19312,19279,19273,19234,19262,19229,19221,19207,19201,19206,19268,19257,19260,19265,19227,19256,19255,19265,19225,19247,19274,19310,19402,19467,19492,19535,19562,19591,19649,19703,19754,19835,19908,20082,20316,20500,20619,20726,20821,20953,21115,21239,21370,21529,21641,21962,22411,22708,22863,23044,23151,23384,23577,23721,23823,23919,23920,24007,24094,24057,24029,23881,23589,23241,22916,22524,22014,21611,21199,20773,20417,19987,19580,19144,18716,18277,17929,17479,17033,16783,16475,16288,16203,15857,15608,15464,15274,15123,14953,14802,14690,14650,13782,13885,13856,13780,13736,13698,13595,13566,13549,13418,13373,13272,13278,13447,13519,13440,13450,13384,13336,13346,12968,13321,13299,13201,13168,13122,13091,13048,13006,12994,13067,13212,13290,13277,13207,13219,13322,13367,13424,13507,13519,13559,13600,13725,13731,13813,13897,13981,14214,14600,14675,14862,14977,15058,15179,15137,15139,15221,15232,15412,15505,15614,15738,15958,16258,16515,16786,17003,17047,17283,17622,17744,18238,18777,19073,19121,19132,19427,19761,20320,20831,21212,21646,22193,22712,23214,23698,24321,24890,25483,25909,26430,26836,27243,27598,27871,28012,28040,28125,28397,28577,28733,28856,29101,29273,29349,29430,29453,29394,29339,29200,29136,29140,29072,29011,28935,28890,28760,28674,28535,28347,28231,28137,28113,28013,27906,27792,27679,27581,27435,27292,27160,26987,26839,26722,26590,26508,26376,26204,26073,25920,25775,25650,25527,25358,25116,24905,24726,24552,24344,24158,23974,23813,23662,23450,23297,23139,22978,22894,22750,22607,22498,22381,22236,22101,21987,21876,21783,21970
Solar,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-42,-42,-42,-42,-41,-41,-42,-41,-41,-41,-41,-42,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-44,-44,-44,-44,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-46,-46,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-47,-45,-37,-21,6,60,154,288,455,675,941,1246,1575,1937,2349,2768,3189,3623,4053,4479,4907,5315,5749,6185,6617,7043,7408,7716,7955,8163,8350,8634,8863,9017,9143,9239,9358,9472,9532,9593,9622,9525,9552,9578,9598,9630,9699,9724,9742,9767,9798,9829,9805,9688,9651,9646,9655,9648,9642,9644,9639,9642,9657,9654,9698,9810,9858,9890,9903,9939,9926,9847,9828,9862,9979,10015,10017,10023,10031,10040,10050,10061,10073,9958,10008,10025,10051,10098,10021,9756,9719,9670,9623,9667,9681,9731,9825,9826,9894,9917,9934,9921,9887,9848,9776,9591,9489,9363,9442,9381,9150,9092,8814,8223,7923,7922,8028,7895,7635,7218,6893,6572,6231,5827,5383,4919,4439,3933,3433,2967,2507,2063,1651,1282,985,737,530,385,265,178,60,28,7,-42,-47,-47,-45,-43,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-41,-41,-42,-41,-42,-41,-41,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,,
Wind,954,971,979,973,971,967,968,973,981,976,946,903,860,821,792,772,765,748,738,721,691,662,658,654,649,642,630,633,640,642,639,619,586,558,543,531,510,491,470,459,451,445,438,423,416,423,438,445,445,451,456,457,463,466,467,472,479,488,492,497,495,486,483,482,478,472,464,467,467,466,458,449,447,455,455,451,449,454,466,473,478,482,479,471,471,470,459,443,432,431,448,469,488,505,519,529,528,519,512,508,495,482,484,489,492,484,480,482,479,468,462,453,446,448,452,456,472,488,496,490,879,886,877,890,879,866,878,881,878,904,899,895,905,900,887,876,892,894,879,883,893,888,881,896,880,857,859,867,867,863,854,852,837,840,840,844,842,861,888,889,875,882,875,883,867,867,882,881,873,877,865,884,879,870,848,838,809,804,796,793,779,757,752,730,698,670,644,597,557,530,512,493,490,474,474,478,486,481,490,480,464,467,461,439,423,396,385,376,373,387,400,412,423,435,442,462,474,486,500,508,517,523,521,510,496,487,488,494,500,511,524,524,523,531,530,532,532,545,573,595,616,623,628,635,646,643,637,654,667,700,729,738,742,741,731,729,719,715,712,707,691,674,661,634,610,596,584,575,584,595,601,613,612,604,600,600,601,599,588,576,561,556,548,542,532,514,503,494,,
