Net Demand 12/07/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21532,21341,21341,21341,21140,21140,21140,20933,20933,20933,20803,20803,20803,20657,20657,20657,20525,20525,20525,20380,20380,20380,20300,20300,20300,20238,20238,20238,20175,20175,20175,20123,20123,20123,20139,20139,20139,20162,20162,20162,20189,20189,20189,20223,20223,20223,20436,20436,20436,20628,20628,20628,20803,20803,20803,21021,21021,21021,21506,21506,21506,21951,21951,21951,22346,22346,22346,22770,22770,22770,23453,23453,23453,24083,24083,24083,24528,24528,24528,24841,24841,24841,25293,25293,25293,25550,25550,25550,25742,25742,25742,26059,26059,26059,26471,26471,26471,26663,26663,26663,26627,26627,26627,26563,26563,26563,26519,26519,26519,26450,26450,26450,26257,26257,26257,26108,26108,26108,25937,25937,25937,25427,25427,25427,25228,25228,25228,25187,25187,25187,25110,25110,25110,25065,25065,25065,24813,24813,24813,24815,24815,24815,24738,24738,24738,24665,24665,24665,24659,24659,24659,24529,24529,24529,24284,24284,24284,24291,24291,24291,24357,24357,24357,24454,24454,24454,24534,24534,24534,24518,24518,24518,24831,24831,24831,25018,25018,25018,25230,25230,25230,25443,25443,25443,25633,25633,25633,25743,25743,25743,25960,25960,25960,26356,26356,26356,26590,26590,26590,27428,27428,27428,28443,28443,28443,29000,29000,29000,29263,29263,29263,29368,29368,29368,29349,29349,29349,29285,29285,29285,29180,29180,29180,28974,28974,28974,28771,28771,28771,28539,28539,28539,28295,28295,28295,28068,28068,28068,27750,27750,27750,27476,27476,27476,27264,27264,27264,26992,26992,26992,26719,26719,26719,26400,26400,26400,26045,26045,26045,25656,25656,25656,25176,25176,25176,24726,24726,24726,24262,24262,24262,23788,23788,23788,23308,23308,23308,22916,22916,22916,22605,22605,22605,22272,22272,22272,21971,21971,21971
Demand,21493,21482,21549,21464,21365,21299,21216,21142,21072,21036,20959,20917,20825,20771,20733,20693,20601,20575,20537,20485,20448,20401,20361,20312,20281,20296,20275,20261,20236,20227,20220,20191,20177,20160,20155,20146,20128,20156,20198,20199,20172,20194,20218,20194,20199,20217,20223,20283,20304,20415,20530,20575,20675,20703,20766,20843,20933,20998,21062,21135,21254,21545,21730,21899,22064,22167,22195,22331,22466,22587,22728,22838,22966,23386,23672,23944,24130,24271,24387,24567,24760,24867,24991,25082,25199,25387,25669,25839,25928,26044,26103,26181,26335,26423,26437,26512,26522,26590,26702,26775,26780,26741,26717,26691,26727,26683,26667,26634,26670,26582,26596,26547,26516,26430,26382,26262,26188,25769,25706,25622,25583,25470,25480,25561,25532,25551,25509,25439,25372,25311,25209,25117,25045,24964,24897,24842,24827,24711,24647,24629,24648,24615,24575,24661,24560,24576,24553,24474,24443,24373,24433,24343,24330,23963,24092,24286,24294,24318,24320,24303,24235,24232,24300,24282,24308,24297,24236,24371,24455,24537,24557,24603,24630,24657,24800,24821,24867,24943,25028,25177,25183,24967,24918,25024,25086,25211,25336,25398,25462,25590,25634,25738,25899,25749,25874,25997,26117,26317,26511,26736,26946,27263,27522,27757,28063,28265,28531,28761,28957,29131,29269,29348,29342,29392,29445,29425,29518,29426,29329,29313,29254,29191,29183,29163,29032,29065,29022,28896,28887,28798,28635,28534,28485,28365,28312,28255,28188,28101,28043,27969,27884,27798,27727,27663,27586,27454,27416,27330,27217,27151,27025,26900,26780,26691,26613,26498,26362,26265,26147,26000,25931,25805,25637,25494,25304,25093,24962,24787,24672,24474,24321,24202,24020,23893,23798,23582,23460,23301,23162,22989,22872,22717,22659,22466,22451,22254,22144,22027,
Day-ahead net forecast,Net demand,20243,20175,20227,20196,20105,20019,19937,19854,19819,19708,19654,19571,19515,19459,19376,19334,19251,19182,19138,19096,19057,18985,18939,18827,18774,18707,18694,18636,18583,18559,18489,18450,18392,18372,18360,18291,18236,18231,18226,18235,18211,18155,18187,18187,18189,18209,18244,18292,18339,18389,18509,18563,18614,18719,18762,18861,18907,19013,19081,19180,19292,19486,19798,19964,20049,20174,20206,20275,20409,20510,20537,20633,20673,20915,21297,21540,21710,21853,21960,22044,22198,22330,22372,22432,22473,22555,22723,22797,22839,22904,22915,22869,22796,22722,22587,22409,22236,22065,21947,21807,21681,21569,21380,21142,20960,20753,20629,20503,20296,20235,20091,19808,19637,19346,19254,18808,18395,17897,17521,17421,17228,17149,17060,17256,16952,16918,17000,16846,16737,16664,16500,16217,16109,16064,15848,15304,15134,15089,14917,14952,14941,14900,14965,14944,14922,15097,15094,14783,14743,14771,14692,14549,14389,14432,14501,14813,14998,15233,15467,15506,15432,15489,15499,15638,15780,16072,15811,16055,16057,16319,16507,16539,16799,17035,17360,17471,17820,18211,18513,18776,18959,19389,19522,19805,20199,20464,20785,21184,21506,21868,22182,22508,22914,23018,23111,23433,23785,24074,24366,24579,24943,25264,25544,25858,26142,26365,26569,26865,27045,27287,27450,27535,27587,27585,27651,27686,27751,27661,27554,27478,27426,27351,27334,27356,27293,27278,27294,27137,27097,27078,26993,26893,26835,26758,26669,26662,26611,26496,26411,26358,26243,26148,26159,26060,25979,25883,25825,25738,25630,25564,25456,25344,25276,25118,25047,25010,24934,24817,24709,24577,24494,24416,24164,24017,23921,23574,23383,23235,23097,22923,22830,22698,22494,22336,22273,22156,21952,21760,21577,21393,21278,21119,21023,20913,20819,20671,20572,20465,
Solar,-16,-16,-15,-16,-16,-16,-16,-15,-16,-15,-16,-15,-16,-16,-16,-15,-15,-16,-16,-16,-16,-16,-16,-15,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-17,-16,-16,-16,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-18,-18,-17,-17,-17,-18,-17,-17,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-19,-19,-19,-19,-19,-19,-18,-16,-12,-5,8,26,48,79,130,213,256,322,409,503,566,684,839,988,1171,1393,1692,1955,2172,2394,2582,2757,2885,3084,3307,3503,3607,3715,3835,3937,4063,4216,4342,4563,4549,4904,5165,5328,5480,5450,5622,5596,5563,5597,5799,5838,5733,5781,5816,5849,5898,6026,6064,5948,6223,6723,6734,6714,6817,6746,6818,6784,6673,6631,6537,6343,6405,6586,6491,6451,6511,6715,6826,6576,6479,6404,6358,6121,5963,5994,5958,5962,6003,5839,5700,5473,5427,5448,5500,5520,5569,5563,5512,5385,5145,5088,4769,4453,4228,4043,3887,3642,3366,3162,2961,2800,2577,2251,1999,1772,1512,1206,968,783,604,450,311,195,131,67,17,-6,-15,-20,-19,-19,-18,-18,-17,-17,-16,-16,-15,-14,-14,-14,-15,-16,-15,-15,-17,-17,-16,-16,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17
Wind,1308,1316,1329,1323,1323,1313,1327,1328,1337,1339,1362,1369,1374,1351,1379,1401,1410,1414,1420,1428,1438,1436,1465,1512,1562,1596,1625,1654,1680,1695,1752,1770,1803,1814,1829,1877,1911,1930,1966,1978,2009,2007,2028,2028,2035,2022,1996,1982,1977,1994,2005,2013,2014,1988,1980,1977,1990,1978,1951,1930,1920,1933,1910,1892,1947,1970,2002,2001,2027,2057,2125,2196,2251,2279,2314,2354,2369,2375,2410,2444,2474,2471,2509,2533,2541,2536,2622,2661,2640,2613,2600,2596,2651,2694,2695,2661,2615,2567,2564,2543,2529,2461,2482,2474,2471,2428,2457,2450,2450,2476,2477,2543,2566,2575,2636,2613,2668,2706,2751,2764,2768,2771,2783,2759,2760,2781,2817,2829,2866,2852,2908,2920,2919,2976,2898,2911,2938,2954,2942,2909,2908,2917,3030,3049,3098,3087,3127,3135,3226,3190,3155,3095,3078,3028,3030,2986,2925,2933,2893,2821,2846,2788,2770,2787,2787,2805,2882,2849,2782,2676,2511,2450,2307,2224,2234,2247,2238,2241,2273,2300,2213,2040,1985,1984,1908,1906,1919,1909,1892,1896,1914,1934,1946,2026,2034,2023,1999,1958,1949,1962,1922,1900,1853,1824,1833,1856,1863,1835,1818,1808,1799,1807,1808,1795,1783,1757,1778,1792,1828,1859,1904,1876,1865,1826,1811,1783,1798,1813,1800,1767,1723,1707,1683,1666,1656,1643,1642,1642,1664,1660,1675,1681,1655,1635,1643,1635,1641,1647,1647,1635,1630,1610,1589,1615,1611,1551,1495,1497,1502,1497,1483,1481,1523,1532,1545,1614,1637,1651,1641,1623,1600,1576,1608,1600,1578,1548,1560,1631,1656,1661,1664,1678,1682,1657,1650,1665,1648,1627
