date,Megawatts,4
2020-02-18 0:00:00,249064,9273
2020-02-18 1:00:00,241022,9546
2020-02-18 2:00:00,236065,8546
2020-02-18 3:00:00,235874,7165
2020-02-18 4:00:00,243704,6039
2020-02-18 5:00:00,264685,5473
2020-02-18 6:00:00,292881,5804
2020-02-18 7:00:00,303431,5874
2020-02-18 8:00:00,295135,5433
2020-02-18 9:00:00,278791,6594
2020-02-18 10:00:00,266735,5953
2020-02-18 11:00:00,262032,3713
2020-02-18 12:00:00,260331,2024
2020-02-18 13:00:00,260950,1009
2020-02-18 14:00:00,265762,584
2020-02-18 15:00:00,275246,298
2020-02-18 16:00:00,292000,188
2020-02-18 17:00:00,315356,449
2020-02-18 18:00:00,334266,613
2020-02-18 19:00:00,329354,2050
2020-02-18 20:00:00,319767,2781
2020-02-18 21:00:00,304531,5809
2020-02-18 22:00:00,284197,7817
2020-02-18 23:00:00,265435,8058
