date,Megawatts,4,5
2021-09-22 00:00:00,342607.0,-572.0,10888.0
2021-09-22 01:00:00,297971.0,-528.0,10905.0
2021-09-22 02:00:00,285474.0,-528.0,10764.0
2021-09-22 03:00:00,278660.0,-529.0,10450.0
2021-09-22 04:00:00,280226.0,-528.0,8790.0
2021-09-22 05:00:00,292605.0,-536.0,7979.0
2021-09-22 06:00:00,313177.0,642.0,8401.0
2021-09-22 07:00:00,323412.0,35108.0,7427.0
2021-09-22 08:00:00,329817.0,97734.0,7829.0
2021-09-22 09:00:00,338544.0,129942.0,9191.0
2021-09-22 10:00:00,349620.0,140756.0,11305.0
2021-09-22 11:00:00,367510.0,142793.0,12713.0
2021-09-22 12:00:00,395259.0,142066.0,14525.0
2021-09-22 13:00:00,424511.0,138744.0,14720.0
2021-09-22 14:00:00,448342.0,133165.0,19048.0
2021-09-22 15:00:00,467518.0,130791.0,24792.0
2021-09-22 16:00:00,477343.0,115023.0,25877.0
2021-09-22 17:00:00,479648.0,60473.0,27404.0
2021-09-22 18:00:00,465390.0,6680.0,28510.0
2021-09-22 19:00:00,451726.0,-560.0,27677.0
2021-09-22 20:00:00,427112.0,-563.0,28043.0
2021-09-22 21:00:00,400393.0,-538.0,29143.0
2021-09-22 22:00:00,365982.0,-533.0,29568.0
2021-09-22 23:00:00,334194.0,-484.0,32037.0
