date,Megawatts,4,5
2021-09-20 00:00:00,287563.0,-507.0,54236.0
2021-09-20 01:00:00,254007.0,-463.0,46543.0
2021-09-20 02:00:00,247808.0,-456.0,40235.0
2021-09-20 03:00:00,245148.0,-462.0,29965.0
2021-09-20 04:00:00,250137.0,-470.0,23363.0
2021-09-20 05:00:00,263994.0,-488.0,24331.0
2021-09-20 06:00:00,286738.0,743.0,22503.0
2021-09-20 07:00:00,297546.0,31360.0,18343.0
2021-09-20 08:00:00,298488.0,91680.0,20226.0
2021-09-20 09:00:00,293713.0,122553.0,23532.0
2021-09-20 10:00:00,290515.0,132814.0,24989.0
2021-09-20 11:00:00,295913.0,141362.0,24733.0
2021-09-20 12:00:00,307290.0,141590.0,23876.0
2021-09-20 13:00:00,324350.0,141462.0,24178.0
2021-09-20 14:00:00,344986.0,141164.0,23054.0
2021-09-20 15:00:00,369915.0,134151.0,20333.0
2021-09-20 16:00:00,393696.0,115474.0,18896.0
2021-09-20 17:00:00,410100.0,63381.0,17176.0
2021-09-20 18:00:00,409653.0,8394.0,14500.0
2021-09-20 19:00:00,405057.0,-467.0,12964.0
2021-09-20 20:00:00,388810.0,-497.0,15088.0
2021-09-20 21:00:00,366822.0,-490.0,16216.0
2021-09-20 22:00:00,336726.0,-487.0,15114.0
2021-09-20 23:00:00,310270.0,-442.0,14048.0
