date,Megawatts,4
2020-03-31 00:00:00,235910.0,28449.0
2020-03-31 01:00:00,227324.0,29887.0
2020-03-31 02:00:00,222777.0,29213.0
2020-03-31 03:00:00,220865.0,27288.0
2020-03-31 04:00:00,225033.0,26519.0
2020-03-31 05:00:00,236560.0,27666.0
2020-03-31 06:00:00,255621.0,29929.0
2020-03-31 07:00:00,263272.0,27596.0
2020-03-31 08:00:00,262190.0,23225.0
2020-03-31 09:00:00,255285.0,18766.0
2020-03-31 10:00:00,246372.0,16491.0
2020-03-31 11:00:00,237664.0,16967.0
2020-03-31 12:00:00,232758.0,22007.0
2020-03-31 13:00:00,229738.0,27128.0
2020-03-31 14:00:00,229254.0,30657.0
2020-03-31 15:00:00,233819.0,36564.0
2020-03-31 16:00:00,242530.0,39248.0
2020-03-31 17:00:00,258238.0,38889.0
2020-03-31 18:00:00,274463.0,41941.0
2020-03-31 19:00:00,291667.0,42912.0
2020-03-31 20:00:00,292598.0,43484.0
2020-03-31 21:00:00,280384.0,43118.0
2020-03-31 22:00:00,263460.0,42697.0
2020-03-31 23:00:00,247236.0,38835.0
