date,Megawatts,4
2020-03-08 00:00:00,245091.0,16314.0
2020-03-08 01:00:00,218671.0,13512.0
2020-03-08 02:00:00,19568.0,1200.0
2020-03-08 03:00:00,232034.0,13981.0
2020-03-08 04:00:00,230677.0,13080.0
2020-03-08 05:00:00,233615.0,11977.0
2020-03-08 06:00:00,239778.0,10813.0
2020-03-08 07:00:00,243507.0,10847.0
2020-03-08 08:00:00,241373.0,10061.0
2020-03-08 09:00:00,234006.0,9237.0
2020-03-08 10:00:00,224649.0,12397.0
2020-03-08 11:00:00,219115.0,14069.0
2020-03-08 12:00:00,216156.0,14845.0
2020-03-08 13:00:00,213732.0,16587.0
2020-03-08 14:00:00,215796.0,19116.0
2020-03-08 15:00:00,221057.0,19248.0
2020-03-08 16:00:00,233422.0,23481.0
2020-03-08 17:00:00,252840.0,25202.0
2020-03-08 18:00:00,280101.0,23735.0
2020-03-08 19:00:00,301758.0,21812.0
2020-03-08 20:00:00,300995.0,21783.0
2020-03-08 21:00:00,291151.0,20983.0
2020-03-08 22:00:00,273678.0,20220.0
2020-03-08 23:00:00,255082.0,17246.0
