date,Megawatts,4,5
2021-11-21 00:00:00,264872.0,-520.0,29359.0
2021-11-21 01:00:00,236154.0,-480.0,26963.0
2021-11-21 02:00:00,230749.0,-482.0,27959.0
2021-11-21 03:00:00,227871.0,-496.0,28223.0
2021-11-21 04:00:00,228850.0,-494.0,24148.0
2021-11-21 05:00:00,234121.0,-508.0,22736.0
2021-11-21 06:00:00,241082.0,1394.0,21126.0
2021-11-21 07:00:00,239590.0,36521.0,20418.0
2021-11-21 08:00:00,235667.0,81837.0,23173.0
2021-11-21 09:00:00,226417.0,95895.0,28739.0
2021-11-21 10:00:00,220433.0,98400.0,27942.0
2021-11-21 11:00:00,217379.0,102215.0,26424.0
2021-11-21 12:00:00,218821.0,109927.0,26312.0
2021-11-21 13:00:00,226947.0,113524.0,26419.0
2021-11-21 14:00:00,241711.0,107393.0,23949.0
2021-11-21 15:00:00,263983.0,64848.0,19696.0
2021-11-21 16:00:00,287453.0,6819.0,14693.0
2021-11-21 17:00:00,308630.0,-769.0,11619.0
2021-11-21 18:00:00,307360.0,-926.0,11121.0
2021-11-21 19:00:00,300542.0,-682.0,9436.0
2021-11-21 20:00:00,292036.0,-621.0,8581.0
2021-11-21 21:00:00,282119.0,-491.0,8248.0
2021-11-21 22:00:00,267030.0,-492.0,9148.0
2021-11-21 23:00:00,251939.0,-451.0,7667.0
