date,Megawatts,4,5
2021-11-27 00:00:00,263603.0,-559.0,9451.0
2021-11-27 01:00:00,234275.0,-513.0,8388.0
2021-11-27 02:00:00,228894.0,-516.0,7599.0
2021-11-27 03:00:00,226270.0,-522.0,6609.0
2021-11-27 04:00:00,227644.0,-538.0,5126.0
2021-11-27 05:00:00,234256.0,-540.0,4271.0
2021-11-27 06:00:00,243243.0,1617.0,3604.0
2021-11-27 07:00:00,243433.0,42085.0,3114.0
2021-11-27 08:00:00,236411.0,99523.0,6601.0
2021-11-27 09:00:00,227419.0,116161.0,9301.0
2021-11-27 10:00:00,220336.0,114517.0,10582.0
2021-11-27 11:00:00,217844.0,116484.0,10666.0
2021-11-27 12:00:00,217754.0,115576.0,10813.0
2021-11-27 13:00:00,224712.0,118097.0,10437.0
2021-11-27 14:00:00,238322.0,110729.0,9990.0
2021-11-27 15:00:00,258434.0,61874.0,9376.0
2021-11-27 16:00:00,279844.0,4852.0,9175.0
2021-11-27 17:00:00,301433.0,-970.0,9293.0
2021-11-27 18:00:00,300091.0,-946.0,9150.0
2021-11-27 19:00:00,293651.0,-718.0,7781.0
2021-11-27 20:00:00,286895.0,-604.0,6411.0
2021-11-27 21:00:00,279801.0,-536.0,5392.0
2021-11-27 22:00:00,266105.0,-516.0,3980.0
2021-11-27 23:00:00,252387.0,-472.0,2623.0
