date,Megawatts,4,5
2021-12-01 00:00:00,278790.0,33.0,14296.0
2021-12-01 01:00:00,247693.0,20.0,12506.0
2021-12-01 02:00:00,242588.0,36.0,12324.0
2021-12-01 03:00:00,241323.0,33.0,12260.0
2021-12-01 04:00:00,248513.0,24.0,10896.0
2021-12-01 05:00:00,264220.0,13.0,12525.0
2021-12-01 06:00:00,288583.0,1412.0,13019.0
2021-12-01 07:00:00,299266.0,30300.0,11949.0
2021-12-01 08:00:00,289785.0,82701.0,11359.0
2021-12-01 09:00:00,279411.0,103806.0,8397.0
2021-12-01 10:00:00,270552.0,109675.0,6628.0
2021-12-01 11:00:00,269231.0,109853.0,5474.0
2021-12-01 12:00:00,270532.0,110789.0,4964.0
2021-12-01 13:00:00,279214.0,114318.0,3773.0
2021-12-01 14:00:00,292542.0,101266.0,2548.0
2021-12-01 15:00:00,307576.0,58188.0,2289.0
2021-12-01 16:00:00,325137.0,5412.0,2203.0
2021-12-01 17:00:00,343285.0,-51.0,3703.0
2021-12-01 18:00:00,338972.0,-42.0,5108.0
2021-12-01 19:00:00,332339.0,-27.0,4586.0
2021-12-01 20:00:00,321498.0,-36.0,3750.0
2021-12-01 21:00:00,307897.0,-31.0,4160.0
2021-12-01 22:00:00,287691.0,-40.0,4654.0
2021-12-01 23:00:00,268895.0,-33.0,7030.0
