date,Megawatts,4
Unnamed: 290,,
2020-03-07 00:00:00,251117.0,19367.0
2020-03-07 01:00:00,241633.0,16477.0
2020-03-07 02:00:00,234972.0,13869.0
2020-03-07 03:00:00,231252.0,11979.0
2020-03-07 04:00:00,231558.0,12389.0
2020-03-07 05:00:00,238261.0,15353.0
2020-03-07 06:00:00,247475.0,19791.0
2020-03-07 07:00:00,253967.0,21634.0
2020-03-07 08:00:00,260170.0,18643.0
2020-03-07 09:00:00,256877.0,17923.0
2020-03-07 10:00:00,251087.0,25357.0
2020-03-07 11:00:00,246111.0,25609.0
2020-03-07 12:00:00,242674.0,25599.0
2020-03-07 13:00:00,238750.0,29657.0
2020-03-07 14:00:00,242281.0,29841.0
2020-03-07 15:00:00,248137.0,31735.0
2020-03-07 16:00:00,261081.0,30999.0
2020-03-07 17:00:00,282444.0,28832.0
2020-03-07 18:00:00,293544.0,27636.0
2020-03-07 19:00:00,303988.0,26451.0
2020-03-07 20:00:00,298011.0,23589.0
2020-03-07 21:00:00,288100.0,23758.0
2020-03-07 22:00:00,271510.0,22951.0
2020-03-07 23:00:00,255610.0,19866.0
