date,Megawatts,4
2021-05-19 00:00:00,270029,51795
2021-05-19 01:00:00,259045,55494
2021-05-19 02:00:00,252492,54610
2021-05-19 03:00:00,250247,52807
2021-05-19 04:00:00,254330,50940
2021-05-19 05:00:00,264489,52925
2021-05-19 06:00:00,276085,55747
2021-05-19 07:00:00,285805,52121
2021-05-19 08:00:00,284866,49546
2021-05-19 09:00:00,277635,48475
2021-05-19 10:00:00,268355,49329
2021-05-19 11:00:00,258963,49083
2021-05-19 12:00:00,256293,51005
2021-05-19 13:00:00,258791,53521
2021-05-19 14:00:00,265212,58243
2021-05-19 15:00:00,275666,61640
2021-05-19 16:00:00,289603,62325
2021-05-19 17:00:00,305349,59487
2021-05-19 18:00:00,319017,55745
2021-05-19 19:00:00,327318,52909
2021-05-19 20:00:00,334122,48150
2021-05-19 21:00:00,325020,51416
2021-05-19 22:00:00,303849,52753
2021-05-19 23:00:00,282513,59361
