date,Megawatts
2019-03-04 00:00:00,250981.0
2019-03-04 01:00:00,226065.0
2019-03-04 02:00:00,222685.0
2019-03-04 03:00:00,222663.0
2019-03-04 04:00:00,231601.0
2019-03-04 05:00:00,252322.0
2019-03-04 06:00:00,279022.0
2019-03-04 07:00:00,288996.0
2019-03-04 08:00:00,284389.0
2019-03-04 09:00:00,279493.0
2019-03-04 10:00:00,277057.0
2019-03-04 11:00:00,275098.0
2019-03-04 12:00:00,274856.0
2019-03-04 13:00:00,274422.0
2019-03-04 14:00:00,275223.0
2019-03-04 15:00:00,281935.0
2019-03-04 16:00:00,290297.0
2019-03-04 17:00:00,307431.0
2019-03-04 18:00:00,330364.0
2019-03-04 19:00:00,328685.0
2019-03-04 20:00:00,320244.0
2019-03-04 21:00:00,304368.0
2019-03-04 22:00:00,283036.0
2019-03-04 23:00:00,243621.0
