date,Megawatts,4
2019-04-16 00:00:00,248890.0,43943.0
2019-04-16 01:00:00,241245.0,43601.0
2019-04-16 02:00:00,235428.0,39350.0
2019-04-16 03:00:00,233573.0,36084.0
2019-04-16 04:00:00,238522.0,37756.0
2019-04-16 05:00:00,254865.0,36497.0
2019-04-16 06:00:00,278673.0,36937.0
2019-04-16 07:00:00,292251.0,35355.0
2019-04-16 08:00:00,296076.0,41381.0
2019-04-16 09:00:00,293750.0,41884.0
2019-04-16 10:00:00,291456.0,42094.0
2019-04-16 11:00:00,286471.0,42001.0
2019-04-16 12:00:00,279403.0,44173.0
2019-04-16 13:00:00,275346.0,44154.0
2019-04-16 14:00:00,272937.0,40388.0
2019-04-16 15:00:00,271751.0,43142.0
2019-04-16 16:00:00,275875.0,44675.0
2019-04-16 17:00:00,284647.0,47890.0
2019-04-16 18:00:00,297629.0,46159.0
2019-04-16 19:00:00,316148.0,44068.0
2019-04-16 20:00:00,322332.0,47201.0
2019-04-16 21:00:00,309335.0,47087.0
2019-04-16 22:00:00,287267.0,44924.0
2019-04-16 23:00:00,266254.0,38194.0
