date,Megawatts,4
2020-12-03 00:00:00,260088.0,15844.0
2020-12-03 01:00:00,250988.0,14872.0
2020-12-03 02:00:00,247030.0,12685.0
2020-12-03 03:00:00,246481.0,10939.0
2020-12-03 04:00:00,252889.0,10128.0
2020-12-03 05:00:00,268670.0,9260.0
2020-12-03 06:00:00,292018.0,10266.0
2020-12-03 07:00:00,303979.0,10100.0
2020-12-03 08:00:00,301602.0,9955.0
2020-12-03 09:00:00,288745.0,10019.0
2020-12-03 10:00:00,278815.0,10916.0
2020-12-03 11:00:00,272928.0,11717.0
2020-12-03 12:00:00,271970.0,11347.0
2020-12-03 13:00:00,276013.0,8834.0
2020-12-03 14:00:00,286435.0,7237.0
2020-12-03 15:00:00,301340.0,6114.0
2020-12-03 16:00:00,318965.0,4374.0
2020-12-03 17:00:00,345375.0,3192.0
2020-12-03 18:00:00,343169.0,3563.0
2020-12-03 19:00:00,336251.0,4092.0
2020-12-03 20:00:00,326577.0,4147.0
2020-12-03 21:00:00,312831.0,4574.0
2020-12-03 22:00:00,295789.0,5156.0
2020-12-03 23:00:00,254340.0,6047.0
