date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,AvgMegawatts2019-2020-2021
01-28T17:00:00,60.1,55.0,66.0,46.1,34.0,55.0,1017.5,1012.9,1022.2,0.5,5.5,16.5,23.4,21.2,23.9,15.0,60.1,60.0,9.6,2.0,257.0,7.6,7.0,58.4,6.0,20.7,324187.3333333333
01-28T18:00:00,58.7,54.0,64.0,46.8,34.0,55.0,1017.7,1013.0,1022.3,0.3,6.6,16.4,24.8,22.8,21.6,14.4,58.7,58.7,8.5,3.8,260.0,6.4,7.0,54.5,6.0,21.1,332681.0
01-28T19:00:00,58.3,54.0,63.0,46.7,33.1,55.0,1018.0,1013.5,1022.5,0.2,6.9,29.1,21.5,18.8,15.4,15.2,58.3,58.2,7.2,7.3,265.0,4.8,7.0,44.9,6.0,19.0,326307.3333333333
01-28T20:00:00,58.0,54.0,63.0,46.4,32.0,55.0,1018.3,1013.8,1022.8,0.2,7.2,33.3,19.1,18.4,14.6,14.6,58.0,58.0,6.0,15.1,270.0,3.0,7.0,29.1,6.0,18.7,316436.3333333333
01-28T21:00:00,57.5,53.1,63.0,45.9,30.9,55.0,1018.5,1013.9,1023.0,0.2,7.6,34.4,18.2,17.9,14.8,14.8,57.5,57.5,5.4,21.6,276.0,1.4,7.0,17.9,6.0,15.9,303307.6666666667
01-28T22:00:00,57.0,53.1,63.0,45.4,30.0,55.0,1018.7,1014.0,1023.2,0.1,8.1,32.8,17.3,16.6,17.5,15.7,57.0,56.9,5.1,18.8,343.0,0.1,3.0,17.5,6.0,13.2,282305.3333333333
01-28T23:00:00,56.5,52.0,62.1,45.3,30.0,55.0,1018.8,1014.2,1023.3,0.1,8.6,33.9,19.4,14.3,16.2,16.2,56.5,56.4,5.2,16.0,70.0,0.9,3.0,21.1,2.0,12.8,248258.33333333334
01-29T00:00:00,55.7,51.1,61.0,44.5,28.9,54.0,1018.7,1014.1,1023.2,0.1,9.4,34.8,16.7,15.9,17.4,15.2,55.7,55.5,5.2,18.3,54.0,1.6,3.0,28.1,2.0,14.5,271787.3333333333
01-29T01:00:00,54.7,50.0,60.1,43.7,28.0,54.0,1018.5,1014.0,1023.1,0.0,10.3,33.7,20.9,13.6,14.3,17.5,54.7,54.4,4.8,23.8,49.0,2.1,3.0,27.2,2.0,19.0,242587.0
01-29T02:00:00,53.6,48.9,59.0,43.1,28.0,54.0,1018.5,1013.9,1023.2,0.0,11.4,33.3,20.0,14.4,14.8,17.5,53.6,53.2,4.4,29.1,55.0,1.9,3.0,24.7,2.0,20.0,237323.0
01-29T03:00:00,52.8,48.0,57.9,42.8,28.0,54.0,1018.4,1013.8,1023.2,0.0,12.2,32.7,23.3,12.1,13.1,18.8,52.8,52.4,4.3,28.2,58.0,2.2,3.0,28.9,2.0,21.1,236402.66666666666
01-29T04:00:00,52.2,46.9,57.9,42.1,27.0,53.1,1018.2,1013.5,1023.0,0.0,12.8,29.6,18.8,14.2,16.5,20.9,52.2,51.6,4.1,29.8,61.0,2.3,3.0,28.5,2.0,21.4,242794.0
