date,Megawatts
2021-06-24 00:00:00,330280.0
2021-06-24 01:00:00,288978.0
2021-06-24 02:00:00,278454.0
2021-06-24 03:00:00,273404.0
2021-06-24 04:00:00,275027.0
2021-06-24 05:00:00,283309.0
2021-06-24 06:00:00,293258.0
2021-06-24 07:00:00,303398.0
2021-06-24 08:00:00,307538.0
2021-06-24 09:00:00,303681.0
2021-06-24 10:00:00,302634.0
2021-06-24 11:00:00,305464.0
2021-06-24 12:00:00,313174.0
2021-06-24 13:00:00,327484.0
2021-06-24 14:00:00,342230.0
2021-06-24 15:00:00,359133.0
2021-06-24 16:00:00,371869.0
2021-06-24 17:00:00,382884.0
2021-06-24 18:00:00,389919.0
2021-06-24 19:00:00,386544.0
2021-06-24 20:00:00,380812.0
2021-06-24 21:00:00,370666.0
2021-06-24 22:00:00,345294.0
2021-06-24 23:00:00,294365.0
