date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2019,Megawatts_2020,Megawatts_2021
11-13T07:00:00,57.3,52.0,63.0,44.6,26.1,56.3,1017.3,1013.4,1021.2,0.1,7.8,17.2,25.0,21.0,21.0,15.9,57.3,57.2,4.5,19.8,60.0,2.3,3.0,31.2,2.0,19.5,23796.25,24319.5,20896.666666666668
11-13T08:00:00,60.2,54.9,66.0,44.8,25.0,57.0,1017.8,1013.7,1021.6,0.5,5.3,17.1,24.4,22.1,18.4,17.9,60.2,60.1,4.8,18.7,56.0,2.5,3.0,28.1,2.0,24.5,23644.75,24196.33333333333,20978.166666666668
11-13T09:00:00,63.7,57.9,71.1,44.8,25.0,57.0,1018.1,1014.0,1021.9,1.6,3.0,19.4,24.9,22.8,17.9,15.0,63.7,63.7,5.1,16.9,69.0,2.4,3.0,27.6,2.0,18.3,23317.75,23799.25,20931.666666666668
11-13T10:00:00,66.6,60.1,75.9,44.5,25.0,57.0,1018.0,1013.9,1022.1,3.2,1.6,18.8,22.3,22.0,24.8,12.1,66.6,66.5,5.3,18.4,103.0,0.8,3.0,21.2,4.0,12.8,23131.58333333333,23407.08333333333,20868.916666666668
11-13T11:00:00,68.6,61.0,79.0,44.3,24.1,57.0,1017.7,1013.6,1021.7,4.6,1.0,20.7,26.0,23.7,18.6,11.0,68.6,68.6,6.0,14.4,241.0,2.5,7.0,28.3,6.0,15.5,23338.83333333333,23016.0,21017.666666666668
11-13T12:00:00,69.1,62.1,78.1,45.9,27.0,57.0,1016.9,1012.7,1020.6,4.9,0.8,22.6,24.9,25.1,18.8,8.5,69.1,69.1,8.5,6.2,252.0,7.0,7.0,51.9,6.0,24.8,23673.416666666668,23067.25,21460.0
11-13T13:00:00,68.6,62.1,77.0,47.4,28.9,57.0,1016.2,1012.2,1020.0,4.5,0.8,23.1,24.4,25.9,16.8,9.8,68.6,68.6,10.2,2.7,256.0,9.2,7.0,63.1,6.0,25.0,24285.166666666668,23437.83333333333,22259.25
11-13T14:00:00,67.9,61.0,75.9,48.2,32.7,57.9,1015.8,1011.7,1019.6,3.8,0.9,22.9,23.6,25.6,15.6,12.3,67.9,67.9,11.1,0.9,259.0,10.1,7.0,71.3,6.0,19.8,24858.58333333333,23991.5,23340.0
11-13T15:00:00,66.9,61.0,75.0,49.1,35.1,57.9,1015.6,1011.6,1019.5,3.1,1.2,23.0,22.8,27.2,16.3,10.6,66.9,66.9,11.1,0.7,260.0,10.2,7.0,74.7,6.0,17.8,25495.416666666668,24755.08333333333,25290.666666666668
11-13T16:00:00,65.4,60.1,73.0,50.1,39.0,57.9,1015.6,1011.6,1019.5,2.1,1.7,18.9,25.1,20.5,24.4,11.2,65.4,65.4,10.6,0.4,261.0,9.6,7.0,74.8,6.0,16.0,26384.416666666668,25864.416666666668,26294.166666666668
11-13T17:00:00,63.5,59.0,69.1,51.0,41.0,59.0,1015.6,1011.7,1019.5,1.2,2.7,18.0,26.6,24.9,20.6,9.8,63.5,63.5,9.6,1.3,262.0,8.8,7.0,74.4,6.0,15.7,27902.5,27562.75,27154.83333333333
